company_name,total_since_2011,total_since_2017,total_since_2022,total_since_2025,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,link
TennesseeCan,3410000.0,2147500.0,1285000.0,412500.0,0.0,0.0,42500.0,385000.0,205000.0,172500.0,172500.0,285000.0,172500.0,210000.0,160000.0,160000.0,160000.0,280000.0,400000.0,192500.0,412500.0,
Tennessee County Services Association,3395000.0,2242500.0,1012500.0,300000.0,160000.0,160000.0,160000.0,160000.0,160000.0,172500.0,225000.0,275000.0,275000.0,262500.0,262500.0,205000.0,225000.0,225000.0,225000.0,262500.0,300000.0,
Elevance Health - Wellpoint,3302500.0,1572500.0,652500.0,160000.0,160000.0,160000.0,310000.0,260000.0,160000.0,260000.0,310000.0,430000.0,160000.0,230000.0,160000.0,160000.0,210000.0,210000.0,122500.0,160000.0,160000.0,
Tennessee Farm Bureau,3270000.0,1847500.0,880000.0,215000.0,270000.0,270000.0,290000.0,212500.0,252500.0,215000.0,220000.0,232500.0,212500.0,175000.0,195000.0,170000.0,215000.0,215000.0,235000.0,215000.0,215000.0,
Tennessee Broadband Association - Telecommunications Association,3167500.0,2240000.0,1340000.0,360000.0,20000.0,20000.0,280000.0,45000.0,160000.0,160000.0,122500.0,160000.0,160000.0,160000.0,160000.0,160000.0,260000.0,260000.0,360000.0,360000.0,360000.0,
Corecivic,2950000.0,1940000.0,1040000.0,260000.0,260000.0,160000.0,210000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,210000.0,210000.0,260000.0,260000.0,260000.0,260000.0,
Home Builders Association of Tennessee,2932500.0,1522500.0,510000.0,85000.0,260000.0,172500.0,210000.0,210000.0,260000.0,260000.0,210000.0,260000.0,260000.0,210000.0,260000.0,160000.0,122500.0,135000.0,172500.0,117500.0,85000.0,
Hca Healthcare,2920000.0,2920000.0,1790000.0,710000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360000.0,460000.0,310000.0,260000.0,310000.0,510000.0,710000.0,
Oracle,2870000.0,2290000.0,1427500.0,360000.0,45000.0,45000.0,65000.0,85000.0,65000.0,45000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,222500.0,372500.0,335000.0,360000.0,360000.0,
State Farm,2862500.0,1790000.0,840000.0,160000.0,160000.0,160000.0,210000.0,160000.0,210000.0,160000.0,160000.0,172500.0,160000.0,210000.0,160000.0,210000.0,210000.0,260000.0,260000.0,160000.0,160000.0,
Altria Group,2825000.0,1865000.0,1002500.0,272500.0,230000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,222500.0,160000.0,210000.0,260000.0,260000.0,272500.0,
Tennessee Municipal Electric Power Association,2767500.0,1865000.0,1215000.0,372500.0,97500.0,97500.0,77500.0,210000.0,172500.0,160000.0,160000.0,122500.0,85000.0,85000.0,160000.0,160000.0,160000.0,260000.0,260000.0,322500.0,372500.0,
