company_name,total_since_2011,total_since_2017,total_since_2022,total_since_2025,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,link
Swedish Match,550000.0,280000.0,90000.0,0.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,22500.0,45000.0,32500.0,45000.0,45000.0,0.0,0.0,
"Koch Companies Public Sector, Llc And Affiliates",545000.0,545000.0,127500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,97500.0,85000.0,85000.0,85000.0,85000.0,42500.0,0.0,0.0,
Motion Picture Association Of America,545000.0,147500.0,0.0,0.0,45000.0,32500.0,45000.0,85000.0,85000.0,45000.0,85000.0,52500.0,52500.0,52500.0,42500.0,0.0,0.0,0.0,0.0,0.0,0.0,
Priority Ambulance,540000.0,540000.0,442500.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,20000.0,32500.0,102500.0,20000.0,160000.0,160000.0,
Tennessee Tow Truck Association,540000.0,460000.0,297500.0,122500.0,0.0,0.0,0.0,0.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,32500.0,45000.0,45000.0,45000.0,65000.0,65000.0,122500.0,
"Studsvik, Inc.",540000.0,0.0,0.0,0.0,85000.0,85000.0,210000.0,160000.0,160000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Bird Rides, Inc.",537500.0,537500.0,170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122500.0,160000.0,85000.0,85000.0,85000.0,0.0,0.0,
"Support Solutions Of The Mid-South, Llc",537500.0,397500.0,185000.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140000.0,45000.0,32500.0,45000.0,45000.0,45000.0,10000.0,65000.0,65000.0,45000.0,
Cicero Action,537500.0,537500.0,452500.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0,122500.0,160000.0,85000.0,85000.0,
Cempa Community Care,535000.0,535000.0,320000.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,85000.0,85000.0,65000.0,85000.0,85000.0,85000.0,
Patients For Fair Compensation,535000.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42500.0,172500.0,160000.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Qsource,535000.0,257500.0,45000.0,0.0,0.0,32500.0,65000.0,45000.0,45000.0,32500.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,32500.0,45000.0,0.0,0.0,0.0,
Ford Motor Company,535000.0,535000.0,525000.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,102500.0,102500.0,160000.0,160000.0,
Cg Of Tennessee Llc,532500.0,532500.0,297500.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,85000.0,85000.0,85000.0,42500.0,85000.0,85000.0,
"Pure Storage, Inc.",532500.0,532500.0,340000.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,
Motion Picture Association of America,530000.0,530000.0,382500.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42500.0,52500.0,52500.0,85000.0,52500.0,85000.0,160000.0,
Tennessee Association of Chiefs of Police,527500.0,407500.0,307500.0,85000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,52500.0,85000.0,85000.0,85000.0,
"Sugarlands Distilling Company, Llc",527500.0,475000.0,260000.0,65000.0,0.0,0.0,0.0,0.0,52500.0,0.0,0.0,0.0,0.0,0.0,65000.0,85000.0,65000.0,85000.0,65000.0,45000.0,65000.0,
Justice Action Network,527500.0,527500.0,175000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,222500.0,65000.0,65000.0,65000.0,45000.0,0.0,
"Cisco Systems, Inc.",527500.0,235000.0,167500.0,45000.0,0.0,0.0,32500.0,32500.0,45000.0,97500.0,85000.0,0.0,0.0,0.0,0.0,22500.0,45000.0,45000.0,32500.0,45000.0,45000.0,
Tn Assn. Of Housing & Redevelopment Authorities,525000.0,305000.0,80000.0,20000.0,20000.0,20000.0,32500.0,20000.0,45000.0,32500.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,20000.0,20000.0,20000.0,20000.0,
Tn Risk Management Trust,522500.0,337500.0,200000.0,65000.0,45000.0,45000.0,10000.0,32500.0,45000.0,20000.0,45000.0,32500.0,20000.0,20000.0,20000.0,32500.0,45000.0,45000.0,45000.0,45000.0,65000.0,
Opportunity Solutions Project,522500.0,512500.0,107500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,65000.0,85000.0,85000.0,85000.0,85000.0,52500.0,32500.0,22500.0,0.0,
Seven States Power Corporation,520000.0,255000.0,150000.0,85000.0,32500.0,20000.0,45000.0,32500.0,90000.0,45000.0,20000.0,32500.0,32500.0,20000.0,20000.0,32500.0,0.0,0.0,0.0,65000.0,85000.0,
"Graduation Alliance, Inc",520000.0,520000.0,307500.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42500.0,85000.0,85000.0,52500.0,85000.0,85000.0,85000.0,
U.S. Chamber of Commerce,520000.0,260000.0,0.0,0.0,0.0,0.0,0.0,0.0,42500.0,152500.0,65000.0,0.0,20000.0,52500.0,122500.0,65000.0,0.0,0.0,0.0,0.0,0.0,
"Freeman Recovery Center, Llc",520000.0,520000.0,520000.0,260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260000.0,260000.0,
The United Company,520000.0,520000.0,340000.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,
Life Science Tennessee,517500.0,437500.0,250000.0,22500.0,0.0,0.0,0.0,0.0,20000.0,20000.0,20000.0,20000.0,20000.0,45000.0,45000.0,32500.0,45000.0,97500.0,65000.0,65000.0,22500.0,
Scientific Games,517500.0,247500.0,22500.0,0.0,52500.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,22500.0,0.0,0.0,0.0,
Blackbird Capital Ii Llc,515000.0,515000.0,340000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0,90000.0,90000.0,160000.0,90000.0,0.0,
Tn Academy Of General Dentistry,515000.0,307500.0,137500.0,0.0,32500.0,32500.0,45000.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,20000.0,32500.0,52500.0,52500.0,52500.0,32500.0,0.0,
Tennessee Association of Criminal Defense Lawyers,515000.0,262500.0,80000.0,20000.0,20000.0,20000.0,45000.0,32500.0,32500.0,45000.0,65000.0,32500.0,32500.0,65000.0,32500.0,32500.0,20000.0,20000.0,20000.0,20000.0,20000.0,
FedEx,515000.0,332500.0,130000.0,20000.0,20000.0,20000.0,20000.0,45000.0,20000.0,32500.0,45000.0,20000.0,32500.0,20000.0,32500.0,32500.0,85000.0,45000.0,20000.0,45000.0,20000.0,
Spectra Energy Corp,512500.0,42500.0,0.0,0.0,45000.0,45000.0,45000.0,85000.0,85000.0,85000.0,85000.0,85000.0,42500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Title Loan Association of Tennessee,512500.0,85000.0,0.0,0.0,65000.0,122500.0,65000.0,52500.0,90000.0,90000.0,85000.0,45000.0,32500.0,32500.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Ticket Software Llc Dba Ticketnetwork, Inc.",512500.0,77500.0,0.0,0.0,0.0,0.0,32500.0,65000.0,52500.0,102500.0,102500.0,80000.0,0.0,0.0,45000.0,32500.0,0.0,0.0,0.0,0.0,0.0,
"Action Now Initiative, Llc",510000.0,510000.0,420000.0,260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90000.0,0.0,0.0,0.0,0.0,0.0,160000.0,260000.0,
The Neuro-Spine Committee,510000.0,202500.0,0.0,0.0,0.0,0.0,20000.0,70000.0,70000.0,57500.0,45000.0,45000.0,70000.0,45000.0,22500.0,45000.0,20000.0,0.0,0.0,0.0,0.0,
Global Medical Response,510000.0,510000.0,340000.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,
Pmi Us Corporate Services Inc. And Affiliates,510000.0,510000.0,510000.0,510000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510000.0,
"Tn Chapter, Sierra Club",507500.0,217500.0,80000.0,20000.0,45000.0,32500.0,45000.0,45000.0,45000.0,45000.0,45000.0,65000.0,45000.0,20000.0,32500.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,
University Of Memphis Foundation,502500.0,395000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,85000.0,292500.0,102500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Memphis Bioworks Foundation,502500.0,187500.0,0.0,0.0,85000.0,85000.0,85000.0,10000.0,45000.0,45000.0,45000.0,85000.0,122500.0,65000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Neighborhood Preservation, Inc.",500000.0,435000.0,65000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,65000.0,65000.0,65000.0,90000.0,85000.0,65000.0,0.0,0.0,0.0,
Fanduel,497500.0,357500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,117500.0,85000.0,85000.0,85000.0,57500.0,45000.0,0.0,0.0,0.0,0.0,
Naifa - Tennessee,497500.0,190000.0,65000.0,0.0,20000.0,20000.0,32500.0,20000.0,57500.0,70000.0,70000.0,57500.0,32500.0,20000.0,20000.0,20000.0,32500.0,32500.0,32500.0,0.0,0.0,
Servpro Industries,497500.0,457500.0,412500.0,32500.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,0.0,0.0,0.0,0.0,45000.0,85000.0,85000.0,210000.0,32500.0,
Tenneseia,492500.0,470000.0,470000.0,160000.0,0.0,0.0,0.0,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,85000.0,160000.0,160000.0,
Winrock International,490000.0,490000.0,410000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,160000.0,160000.0,90000.0,0.0,
Sports Betting Alliance,490000.0,490000.0,490000.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,85000.0,85000.0,160000.0,
"Old Dominick Distillery, Llc",490000.0,450000.0,80000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,290000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,
Southern Environmental Law Center,485000.0,425000.0,202500.0,65000.0,10000.0,0.0,0.0,0.0,0.0,20000.0,20000.0,20000.0,32500.0,85000.0,65000.0,20000.0,20000.0,32500.0,20000.0,85000.0,65000.0,
Toyota,482500.0,482500.0,260000.0,45000.0,140000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,52500.0,65000.0,65000.0,85000.0,65000.0,65000.0,45000.0,
Horne Llp,480000.0,480000.0,427500.0,42500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,32500.0,65000.0,160000.0,160000.0,42500.0,
Tn Farmers Cooperative,480000.0,347500.0,220000.0,85000.0,20000.0,20000.0,20000.0,20000.0,20000.0,32500.0,20000.0,20000.0,10000.0,20000.0,20000.0,32500.0,45000.0,45000.0,45000.0,45000.0,85000.0,
Tennessee Mortgage Bankers Association,480000.0,470000.0,365000.0,97500.0,32500.0,32500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52500.0,52500.0,85000.0,85000.0,97500.0,97500.0,
"National Tobacco Company, L.P.",477500.0,42500.0,0.0,0.0,0.0,0.0,52500.0,85000.0,85000.0,85000.0,85000.0,42500.0,0.0,42500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sprint,477500.0,207500.0,0.0,0.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,85000.0,45000.0,45000.0,32500.0,0.0,0.0,0.0,0.0,0.0,
Communities In Schools Of Tennessee,475000.0,475000.0,260000.0,65000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,85000.0,85000.0,85000.0,65000.0,45000.0,65000.0,
Tennessee Business Roundtable,475000.0,305000.0,92500.0,20000.0,172500.0,160000.0,90000.0,20000.0,20000.0,20000.0,20000.0,0.0,45000.0,45000.0,32500.0,45000.0,45000.0,32500.0,20000.0,20000.0,20000.0,
Copart,475000.0,305000.0,105000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0,85000.0,45000.0,65000.0,45000.0,45000.0,0.0,0.0,52500.0,52500.0,0.0,
First Horizon Corporation,475000.0,475000.0,420000.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,110000.0,110000.0,110000.0,90000.0,
Arthritis Foundation Inc.,472500.0,472500.0,260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90000.0,122500.0,260000.0,0.0,0.0,0.0,
Blount Partnership,472500.0,472500.0,200000.0,65000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52500.0,85000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,65000.0,
Directv,470000.0,220000.0,220000.0,45000.0,0.0,45000.0,20000.0,0.0,140000.0,45000.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,65000.0,45000.0,45000.0,
Hospital Alliance Of Tn,467500.0,157500.0,0.0,0.0,45000.0,45000.0,65000.0,65000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,22500.0,0.0,0.0,0.0,0.0,0.0,
County Officials Association Of Tn,465000.0,320000.0,80000.0,20000.0,45000.0,57500.0,45000.0,20000.0,20000.0,20000.0,20000.0,20000.0,102500.0,32500.0,32500.0,52500.0,20000.0,20000.0,20000.0,20000.0,20000.0,
Jobs For Tennessee Graduates Inc.,465000.0,455000.0,277500.0,122500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,32500.0,45000.0,45000.0,45000.0,10000.0,45000.0,65000.0,45000.0,122500.0,
"Ocoee River Outfitters Association, Inc.",465000.0,242500.0,80000.0,20000.0,32500.0,32500.0,32500.0,32500.0,65000.0,52500.0,20000.0,20000.0,20000.0,45000.0,32500.0,45000.0,20000.0,20000.0,20000.0,20000.0,20000.0,
Tn Development District Assn.,465000.0,220000.0,0.0,0.0,45000.0,45000.0,45000.0,45000.0,45000.0,32500.0,32500.0,45000.0,45000.0,45000.0,65000.0,65000.0,0.0,0.0,0.0,0.0,0.0,
Xerox,465000.0,67500.0,0.0,0.0,0.0,0.0,0.0,122500.0,122500.0,85000.0,45000.0,22500.0,22500.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Delaware North Companies Gaming & Entertainment, Inc.",465000.0,412500.0,85000.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,32500.0,20000.0,0.0,122500.0,160000.0,45000.0,0.0,0.0,0.0,0.0,85000.0,
Alexian Brothers,465000.0,195000.0,20000.0,0.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,32500.0,32500.0,45000.0,20000.0,20000.0,0.0,0.0,0.0,
Verra Mobility,462500.0,340000.0,0.0,0.0,0.0,32500.0,45000.0,32500.0,45000.0,0.0,0.0,0.0,52500.0,85000.0,85000.0,65000.0,52500.0,0.0,0.0,0.0,0.0,
March Of Dimes,462500.0,255000.0,92500.0,20000.0,45000.0,45000.0,45000.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,20000.0,20000.0,20000.0,
"Rural Health Association Of Tennessee, Inc.",462500.0,292500.0,117500.0,20000.0,20000.0,20000.0,20000.0,20000.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,45000.0,32500.0,32500.0,32500.0,32500.0,32500.0,20000.0,
"Mbsc Black Creek, Llc.",460000.0,460000.0,352500.0,97500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,85000.0,85000.0,85000.0,85000.0,97500.0,
Obion County Chamber Of Commerce,460000.0,417500.0,167500.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,20000.0,57500.0,45000.0,45000.0,57500.0,45000.0,45000.0,45000.0,32500.0,45000.0,
Memphis Shelby Crime Commission,460000.0,460000.0,460000.0,210000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90000.0,160000.0,210000.0,
South Central Tennessee Development District,457500.0,457500.0,382500.0,52500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,65000.0,160000.0,85000.0,85000.0,52500.0,
Public Risk Insurors,455000.0,455000.0,260000.0,65000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,
Charter Communications,455000.0,322500.0,127500.0,0.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,32500.0,20000.0,32500.0,20000.0,52500.0,45000.0,45000.0,85000.0,42500.0,0.0,0.0,
National College,455000.0,0.0,0.0,0.0,65000.0,122500.0,85000.0,102500.0,65000.0,65000.0,85000.0,52500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tn Performing Arts Center,452500.0,327500.0,157500.0,20000.0,20000.0,10000.0,0.0,0.0,52500.0,32500.0,20000.0,20000.0,65000.0,20000.0,32500.0,32500.0,20000.0,65000.0,52500.0,20000.0,20000.0,
Columbia Pipeline Group,452500.0,325000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42500.0,85000.0,85000.0,65000.0,45000.0,45000.0,85000.0,0.0,0.0,0.0,0.0,
The College Board,450000.0,260000.0,0.0,0.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,90000.0,20000.0,20000.0,20000.0,190000.0,20000.0,10000.0,0.0,0.0,0.0,0.0,
Us Term Limits,450000.0,365000.0,197500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0,52500.0,52500.0,0.0,10000.0,52500.0,80000.0,65000.0,52500.0,0.0,
Clinical Solutions Pharmacy,447500.0,447500.0,447500.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,160000.0,122500.0,85000.0,
"Critical Nurse Staffing, Llc",447500.0,447500.0,200000.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32500.0,45000.0,85000.0,85000.0,65000.0,45000.0,45000.0,45000.0,
"Allegis, Redwood, Maxim Public Affairs, Llc",447500.0,447500.0,340000.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,85000.0,85000.0,85000.0,85000.0,85000.0,
Tn Action 24/7,447500.0,447500.0,340000.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,85000.0,85000.0,85000.0,85000.0,85000.0,
Yescare Corp.,447500.0,447500.0,447500.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,160000.0,122500.0,85000.0,
"Forensic Medical Management Services, Plc",445000.0,335000.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,65000.0,0.0,0.0,
"Epic Pharmacies, Inc. C/O Multistate Associates Inc.",445000.0,200000.0,0.0,0.0,0.0,0.0,0.0,45000.0,45000.0,45000.0,65000.0,45000.0,45000.0,45000.0,32500.0,45000.0,32500.0,0.0,0.0,0.0,0.0,
American Express,442500.0,112500.0,0.0,0.0,65000.0,65000.0,65000.0,45000.0,45000.0,45000.0,65000.0,65000.0,45000.0,45000.0,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gainwell,442500.0,442500.0,397500.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,45000.0,32500.0,160000.0,160000.0,
Path Company,440000.0,440000.0,232500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0,122500.0,32500.0,45000.0,155000.0,0.0,
Powers Management,440000.0,420000.0,200000.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,32500.0,90000.0,32500.0,65000.0,77500.0,122500.0,0.0,0.0,
Ivanti,440000.0,440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230000.0,210000.0,0.0,0.0,0.0,0.0,0.0,
"H.W. Lochner, Inc.",437500.0,167500.0,0.0,0.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,32500.0,0.0,0.0,0.0,0.0,0.0,
Tn Fraternal Order Of Police,437500.0,217500.0,80000.0,20000.0,70000.0,45000.0,45000.0,45000.0,20000.0,20000.0,45000.0,45000.0,45000.0,32500.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,
Uptown Property Holdings Llc,437500.0,427500.0,162500.0,52500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,65000.0,65000.0,45000.0,45000.0,45000.0,32500.0,32500.0,45000.0,52500.0,
"Payit, Llc",435000.0,435000.0,80000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32500.0,90000.0,90000.0,20000.0,122500.0,20000.0,20000.0,20000.0,20000.0,
Amgen,432500.0,205000.0,92500.0,32500.0,20000.0,20000.0,20000.0,20000.0,20000.0,32500.0,115000.0,20000.0,20000.0,20000.0,32500.0,20000.0,20000.0,20000.0,20000.0,20000.0,32500.0,
Nurse Family Partnership,432500.0,432500.0,277500.0,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,45000.0,65000.0,85000.0,85000.0,85000.0,22500.0,
"Opus Inspection, Inc.",430000.0,290000.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,20000.0,32500.0,65000.0,45000.0,45000.0,45000.0,90000.0,65000.0,0.0,0.0,0.0,0.0,
Distributors Insurance Co.,427500.0,195000.0,92500.0,20000.0,20000.0,20000.0,45000.0,32500.0,45000.0,45000.0,32500.0,32500.0,20000.0,20000.0,10000.0,32500.0,20000.0,20000.0,20000.0,32500.0,20000.0,
Tn Interior Design Coalition,427500.0,157500.0,20000.0,0.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,32500.0,20000.0,20000.0,20000.0,20000.0,0.0,0.0,0.0,
Arconic,427500.0,405000.0,180000.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,
"Hemlock Semiconductor, L.L.C.",425000.0,0.0,0.0,0.0,0.0,0.0,147500.0,110000.0,110000.0,57500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tn Psychiatric Assn.,425000.0,292500.0,180000.0,0.0,32500.0,20000.0,32500.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,32500.0,20000.0,45000.0,115000.0,0.0,
Tennessee Title Pledge Association,425000.0,135000.0,0.0,0.0,65000.0,52500.0,65000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Meta Platforms, Inc.",425000.0,425000.0,382500.0,122500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42500.0,52500.0,85000.0,122500.0,122500.0,
Roche Diagnostics Corporation,425000.0,150000.0,50000.0,0.0,85000.0,65000.0,85000.0,65000.0,65000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,10000.0,0.0,
Kaplan Higher Education Corp.,425000.0,0.0,0.0,0.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Chattanooga Professional Baseball, Llc",425000.0,425000.0,340000.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0,85000.0,85000.0,85000.0,85000.0,
Conexion Americas,425000.0,255000.0,40000.0,0.0,0.0,0.0,20000.0,20000.0,20000.0,45000.0,32500.0,32500.0,32500.0,85000.0,45000.0,32500.0,20000.0,20000.0,20000.0,0.0,0.0,
Relx Inc.,425000.0,425000.0,200000.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,45000.0,45000.0,45000.0,45000.0,65000.0,45000.0,45000.0,45000.0,
Tennessee Music Education Association (Tmea),425000.0,425000.0,200000.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,65000.0,45000.0,
Fresenius Medical Care North America,422500.0,422500.0,367500.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,10000.0,20000.0,102500.0,160000.0,85000.0,
Alliance Of Automobile Manufacturers,420000.0,135000.0,0.0,0.0,45000.0,45000.0,45000.0,45000.0,65000.0,32500.0,52500.0,45000.0,45000.0,45000.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,
Fresenius Medicare Care,420000.0,150000.0,0.0,0.0,52500.0,20000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,65000.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Property Casualty Insurers Assn.,420000.0,97500.0,0.0,0.0,32500.0,52500.0,65000.0,45000.0,45000.0,45000.0,45000.0,77500.0,45000.0,52500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gtech Corporation,420000.0,0.0,0.0,0.0,0.0,0.0,80000.0,85000.0,85000.0,85000.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Securities Industry And Financial Markets Association,420000.0,355000.0,145000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,52500.0,52500.0,0.0,52500.0,52500.0,52500.0,52500.0,20000.0,20000.0,
