company_name,year,amount
"Fanduel Group, Inc.",2025,20000.0
"Faneuil, Inc.",2011,85000.0
"Fantasy Sports Alliance, Inc",2024,32500.0
Farm Action Fund,2024,20000.0
Farm Credit Mid-America,2013,1402500.0
"Farmview Homes, Llc",2018,32500.0
Feazel Roofing Company Llc,2023,10000.0
Fertility Providers Alliance,2025,52500.0
"Fff Enterprises, Inc.",2023,172500.0
Fga Action,2016,77500.0
Fidelity Brokerage Services Llc,2011,130000.0
"Fidelity Capital Markets, A Division Of Nfs Llc",2011,40000.0
"Fidelity Investments Institutional Services Company, Inc.",2011,160000.0
Fifty Bar,2025,80000.0
"Fifty Plus Racing Foundation, Inc",2020,182500.0
"Filp, Llc",2022,87500.0
Financial Federal Bank,2024,22500.0
"Financial Services Institute, Inc.",2019,147500.0
Fireeye,2015,150000.0
First Call Technologies Llc Dba Community Carelink,2025,10000.0
"First Cash, Inc.",2017,10000.0
"First Cumberland Properties, Inc",2011,42500.0
First Farmers And Merchants Bank Of Columbia Tn,2017,20000.0
First Horizon Corporation,2021,475000.0
"First Student, Inc.",2025,65000.0
Fiscalnote,2022,62500.0
Fit Diesel Llc,2019,60000.0
"Fitness International, Llc",2020,90000.0
"Five Points Benefits Solution, Llc",2016,122500.0
Fivestone Partners,2017,80000.0
"Flatrock Entertainment Group, Llc",2022,277500.0
Flexible Finance Association,2015,402500.0
Flix North America,2024,245000.0
Flock Safety,2022,235000.0
Fmr Llc,2022,70000.0
Focus Holdings Llc,2023,30000.0
Food Concepts,2012,60000.0
Food Hall Company,2020,142500.0
"For All, Inc",2021,50000.0
Ford Motor Company,2021,535000.0
"Forensic Medical Management Services, Plc",2015,445000.0
"Forerunner Industries, Inc.",2024,72500.0
"Foris, Inc. And Its Affiliated Entities D/B/A Crypto.Com",2023,22500.0
"Fortinet, Inc.",2022,277500.0
Forward Sumner Economic Partnership,2012,630000.0
Foundation Consumer Healthcare,2022,40000.0
"Foundation For Government Accountability, Inc.",2015,32500.0
Foundation For Individual Rights And Expression,2022,10000.0
Foundation For Individual Rights In Education,2017,30000.0
Fox Management Rehabilitation Services Llc,2024,52500.0
Foxpe,2024,30000.0
"Fpmcm, Llc",2025,52500.0
Francis Energy,2020,117500.0
Frank C. May,2012,10000.0
Franklin Social Llc,2025,117500.0
"Franwell, Inc.",2015,45000.0
Free Tennessee Inc,2022,250000.0
Freedom Monitoring Solutions,2016,55000.0
"Freeman Recovery Center, Llc",2024,520000.0
Fresenius Medical Care North America,2019,422500.0
Friends Life Community,2024,40000.0
Friends Of Baby Doe,2018,307500.0
"Friends Of Levitt Pavilion Memphis, Inc.",2019,222500.0
Frontier Communications Corporation,2020,102500.0
Full Throttle Sloonshine Llc,2014,50000.0
"Fusion Capital Management, Llc",2023,385000.0
"Gaddcom, Inc.",2020,20000.0
"Gaggle.Net, Inc.",2019,85000.0
Gainwell,2021,442500.0
Gainwell Technologies Llc,2020,85000.0
Game Day Healthy Kids Foundation,2012,20000.0
"Gatlinburg Barrelhouse, Llc",2013,32500.0
"Genentech Inc., A Member Of The Roche Group",2016,170000.0
General Cigar Company,2020,270000.0
"General Dynamics Information Technology C/O Multistate Associates, Inc.",2017,20000.0
Geo-Comm,2023,75000.0
"Geodis Logistics, Llc",2021,20000.0
Geographic Solutions,2011,1257500.0
Ggnsc Administrative Services Llc Dba Golden Living,2015,105000.0
Ghertner & Company,2020,390000.0
"Giarratana, Llc",2023,325000.0
"Gilead Sciences, Inc.",2012,1055000.0
Girl Scouts Of Middle Tennessee,2018,75000.0
Global Business Alliance,2022,20000.0
Global Kratom Coalition Inc.,2025,52500.0
Global Medical Response,2020,510000.0
Global Tel Link Corporation,2013,1247500.0
Glorianna Inc,2024,40000.0
Goldfinch Health,2024,107500.0
"Gonoodle, Inc.",2017,142500.0
Goodwill,2016,1267500.0
"Goodwyn Mills Cawood, Llc",2022,222500.0
Google,2014,1355000.0
Gopuff,2021,202500.0
"Grace Healthcare, Llc",2014,165000.0
"Graduation Alliance, Inc",2019,520000.0
Graftech International,2011,60000.0
Graham Corporation,2014,55000.0
Grand Avenue,2015,10000.0
"Grand Ole Opry, Llc",2020,20000.0
"Granville Enterprises, Llc",2018,52500.0
"Graystone Quarry Music, Llc",2020,52500.0
Greater Memphis Chamber,2015,640000.0
Greater Nashville Hospitality Association,2022,370000.0
Greater Nashville Regional Council,2016,820000.0
Green Dot Public Schools National,2021,212500.0
Green Group Holdings,2024,105000.0
Green River Capital D/B/A Elan Skin,2019,30000.0
"Greengo Energy Us, Inc.",2023,40000.0
Greenwich Biosciences,2016,257500.0
Greenworks Lending Llc,2021,30000.0
Greg McCampbell,2014,20000.0
Gresham Smith,2025,160000.0
"Greyhound Lines, Inc.",2021,85000.0
Groundswell Network Inc.,2025,45000.0
Groups Recover Together,2024,262500.0
Gtech Corporation,2011,420000.0
"Guardian Fleet Services, Inc.",2025,32500.0
"Guerrier Development, Llc",2021,65000.0
Guidehouse Inc.,2023,235000.0
"Guidesoft, Inc.",2016,180000.0
Gullane Capital Llc,2025,20000.0
Gun Owners Of America Inc,2022,65000.0
"Gursheel S. Dhillon, M.D.",2011,20000.0
Gv Spring Hill Llc,2023,117500.0
Gwyn Earl,2020,40000.0
"H.G. Hill Realty Company, Llc",2012,292500.0
Hageman Capital Llc,2025,10000.0
Hager Environmental & Atmospheric Technologies (H.E.A.T.),2019,32500.0
Half Summit Ventures Llc,2023,20000.0
"Hall Emery Real Estate, Llc",2020,97500.0
"Handy Technologies, Inc.",2017,87500.0
"Harbor Retirement Management, Llc",2020,32500.0
Hardwick Clothes Inc,2015,52500.0
Havenlock Inc.,2019,55000.0
Hazel Health,2024,120000.0
Hca Healthcare,2019,5020000.0
Health Care Compact,2012,85000.0
"Health Cooperative Strategies, Llc",2017,40000.0
Health Management Associates,2011,347500.0
"Health Services Management Group, Llc",2012,62500.0
Healthcare Distribution Alliance,2022,52500.0
Healthcare Distribution Management Association,2011,90000.0
Healthcare Sterile Processing Association,2022,45000.0
"Healthy Children Project, Inc.",2016,77500.0
Healthy Tennessee Economy,2013,657500.0
Hearing Society Of Tennessee,2021,125000.0
Heart N Soul Hospice,2025,22500.0
Hearthside Assisted Living,2013,40000.0
Heartland Impact,2024,40000.0
Heartland Nato,2021,32500.0
Heartland Solutions Group,2017,130000.0
Heath Tech Solutions,2012,32500.0
Helena Agri-Enterprises,2018,757500.0
Helmet Free Tennessee Llc,2013,142500.0
"Hemlock Semiconductor, L.L.C.",2011,425000.0
"Her Song, A Ministry Of The Tim Tebow Foundation",2023,60000.0
Heritage Action For America,2022,80000.0
"Heritage Center, Llc",2017,52500.0
Herschend Family Entertainment Corporation,2022,230000.0
Hfr,2013,850000.0
"High Tech Special Effects, Inc.",2011,132500.0
"Higher Education Partners, Llc",2013,117500.0
Higher Education Reform Coalition Inc,2022,220000.0
"Highlands Physicians, Inc.",2015,20000.0
Highstreet It,2023,67500.0
"Highways,Inc.",2011,645000.0
Hikma Specialty Usa Inc.,2021,50000.0
Hill&Knowlton Strategies Llc O/B/O Idemia Identity & Security Usa Llc,2020,130000.0
"Hillcrest Healthcare Communities, Inc.",2024,40000.0
Hillsborough Resources Limited,2013,32500.0
Hillside Winery,2024,95000.0
"Hillwood Investment Properties Services, L.P.",2019,42500.0
"Hims, Inc.",2020,137500.0
Hinkle Holding Llc,2020,150000.0
Hmh Education Company,2024,127500.0
Hms,2011,612500.0
Holistic Alternative Recovery Trust,2024,32500.0
"Holladay Property Services Midwest, Inc.",2023,85000.0
Hollingsworth General Partnership,2023,212500.0
Home Builders Association Of Central Tn,2024,110000.0
Home School Legal Defense Association,2016,100000.0
"Homeaway, Inc.",2016,65000.0
Homicide Zero,2025,65000.0
"Homtex, Inc.",2021,20000.0
"Honda North America, Inc.",2017,20000.0
"Honeywell International, Inc.",2016,190000.0
Honky Tonk Party Express,2020,172500.0
Hopebridge,2022,70000.0
"Hopscotch Healthcare, Inc",2025,22500.0
Horne Llp,2020,480000.0
Hospice Of Chattanooga,2019,135000.0
Hospital Authority Of Metro Government Of Nashville & Davidson County,2011,1285000.0
"Hotel Memphis Opco, L.P.",2019,65000.0
Housing Opportunity Coalition,2025,42500.0
Hp Inc.,2025,42500.0
Hpc,2018,65000.0
Hr Comp Employee Leasing,2011,225000.0
"Htc Global Services, Inc",2022,372500.0
Hudson Construction,2014,32500.0
"Hughes Network Systems, Llc",2017,20000.0
Hughes Technology Llc,2021,85000.0
Human Coalition,2019,140000.0
Human Rights Campaign,2016,332500.0
Humane Society Legislative Fund,2012,22500.0
Humane World For Animals,2025,90000.0
Hutton,2014,42500.0
"Hydroblasters Se, Llc",2024,127500.0
I Drive Safely Llc,2011,100000.0
"I-Con Systems, Inc.",2011,52500.0
"I3 Verticals, Llc",2022,227500.0
Ibew Local 429,2013,130000.0
Icf - Tennessee Chapter,2020,60000.0
Icon Entertainment Llc,2018,90000.0
Idemia North America,2022,177500.0
"Igolfvirtual, Llc",2021,85000.0
Igt And Its Affiliates,2016,1022500.0
"Iheartmedia, Inc. Clear Channel Outdoor, And Affiliated Entities",2016,10000.0
Imagine Learning Llc,2022,377500.0
Immi,2017,125000.0
Impact Care Inc.,2025,52500.0
"Impossible Foods, Inc.",2019,105000.0
Independent Payroll Providers Association (Ippa),2024,45000.0
Independent Women'S Voice,2022,95000.0
Indivior Inc,2019,580000.0
Industrial Land Developers Llc,2016,80000.0
Industry Council For Tangible Assets,2016,40000.0
Infectious Disease Prevention Network (Idpn),2023,180000.0
"Infostructure, Inc.",2017,167500.0
Ingersoll Rand,2014,20000.0
Ingram Barge Company Llc,2022,127500.0
"Injured Workers Pharmacy, Llc",2012,62500.0
Innocence Project,2018,200000.0
"Inperium, Inc.",2022,95000.0
Insidetrack,2017,10000.0
Insight Health Corporation,2016,197500.0
"Instate Partners, Llc",2015,22500.0
Institute For Justice,2017,195000.0
"Instructure, Inc.",2021,32500.0
Insurance Auto Auctions,2012,150000.0
"Insure-Rite, Inc.",2013,260000.0
Integrated Biometric Technology Llc,2022,22500.0
Interactive Travel Services Association,2012,22500.0
International Aestheic And Laser Association,2012,105000.0
International Association Of Central Service Materiel Management,2017,45000.0
International Justice Mission,2022,22500.0
International Sleep Products Association,2011,20000.0
Internet Association,2016,30000.0
"Intersocietal Accreditation Commission, Inc.",2025,10000.0
Intouch Pharmacy Llc,2018,55000.0
"Intuit, Inc.",2015,20000.0
Invenergy Llc,2022,60000.0
"Invictus Apps, Inc. D/B/A Prepared",2025,42500.0
"Invo Peo, Inc.",2023,212500.0
"Ionq, Inc.",2025,42500.0
Iota Community Schools,2025,80000.0
"Ipsen Biopharmaceuticals, Inc.",2020,120000.0
Ish Creek Ventures Llc,2021,45000.0
Isha Institute Of Inner Sciences,2024,87500.0
Itg Brands,2022,52500.0
Ivanti,2019,440000.0
"Ivy Wild, Llc",2015,32500.0
"J & M Grading Division, Llc",2020,75000.0
"J&S Construction Co., Inc.",2011,30000.0
J2 Software Solutions,2011,107500.0
Jackson Baseball Club Llc,2021,52500.0
Jackson Chamber Of Commerce,2021,77500.0
James K. Polk Memorial Association,2017,112500.0
Jason Dellavecchia Md Pllc,2023,87500.0
"Jazz Pharmaceuticals, Inc.",2022,100000.0
Jcbg,2024,45000.0
Jefferson County Chamber Of Commerce,2015,115000.0
Jesse James Spirits,2014,50000.0
Jobs For Tennessee Graduates Inc.,2016,465000.0
Joe C Davis Foundation,2021,207500.0
John C Davenport,2025,22500.0
John L. Nau Iii,2020,362500.0
John Moore,2016,20000.0
"Johnson & Johnson Services, Inc.",2022,192500.0
Johnson And Johnson,2011,1020000.0
"Johnson Orthopaedic, Llc",2020,20000.0
Johnson'S Depot,2013,42500.0
Jon Knickerbocker,2017,22500.0
"Jones Bros. Contractors, Llc",2017,757500.0
"Jones Bros., Inc.",2011,205000.0
Jones Lang Lasalle Americas Inc.,2013,605000.0
"Joseph Webb, Ceo",2021,10000.0
Jr Facility Management Llc,2012,30000.0
"Jrfmtn, Llc",2023,32500.0
"Jt International, Usa, Inc.",2024,110000.0
Judicial Crisis Network,2012,180000.0
Junior Achievement Of East Tennesse,2021,60000.0
Junior Achievement Of Memphis And The Mid-South,2022,30000.0
Junior Achievement Of Middle Tennessee,2023,132500.0
"Justbegreen, Llc",2018,20000.0
Justcity,2015,1095000.0
Justice Action Network,2019,527500.0
Juul,2019,700000.0
Kaipod Learning Inc.,2025,45000.0
Kairos Power Llc,2025,122500.0
Kaizen Labs,2025,32500.0
Kalkomey Enterprises Llc,2024,95000.0
Kaltex Fibers America,2018,40000.0
Karuna Therapeutics,2023,10000.0
"Kci Technologies, Inc",2020,87500.0
Kemper Corporation,2013,127500.0
"Kennerly, Montgomery & Finley, P. C.",2011,20000.0
Kepro,2016,220000.0
Kids Read Now,2021,10000.0
Kidwell & Company Inc.,2013,20000.0
Kinder Morgan,2013,637500.0
Kinship Health,2023,55000.0
Kira Learning,2024,127500.0
Kirby McInerny Llp,2019,65000.0
"Kleo, Inc. D/B/A Classwallet",2019,285000.0
Knox Associates Inc.,2023,95000.0
Knoxville Leadership Foundation,2021,100000.0
"Knoxville Locomotive Works, Inc.",2018,32500.0
Knoxville Premier Properties Llc D/B/A Keller Williams Realty,2014,22500.0
Knoxville Zoological Gardens Inc.,2023,292500.0
Knoxville'S Community Development Corporation,2025,22500.0
"Koch Companies Public Sector, Llc And Affiliates",2017,545000.0
"Koch Government Affairs, Llc And Affiliates",2023,212500.0
Kohler Co.,2020,160000.0
Kpmg Llp,2016,875000.0
Kroger Limited Partnership I,2016,52500.0
"Kuder, Inc.",2015,65000.0
Kut Kwick Corporation,2013,117500.0
"Kwr Acquity Strategies, Llc",2024,130000.0
Ky-Tn Water Environment Association,2015,90000.0
Kyndryl Inc.,2021,322500.0
L3Harris Technologies,2023,205000.0
Laboratory Corporation Of America Holdings,2025,32500.0
"Lady Liberty Fireworks, Llc",2018,62500.0
Lamar Advertising Company,2024,40000.0
Landowners Of Tn,2025,42500.0
Latino Memphis,2013,82500.0
Lawler Wood Housing Partners,2014,125000.0
Lce - Life Changing Experiences Ltd.,2018,62500.0
"Ldg Development, Llc",2023,202500.0
Leading Age Tennessee,2015,235000.0
Leadingage Tennessee,2022,70000.0
Learning Ally,2011,30000.0
Leconte Village Llc,2014,20000.0
"Legacy Caviar, Inc.",2011,55000.0
Legacy Of Legends Cdc,2020,60000.0
"Legalzoom.Com, Inc.",2015,85000.0
Lehman-Roberts Company,2012,687500.0
Lemoyne-Owen College,2025,22500.0
Leukemia & Lymphoma Society,2016,102500.0
Level 3 Communications,2014,95000.0
Lexia Learning,2020,55000.0
"Lexmark Enterprise Software, Llc",2016,20000.0
"Lexmark International, Inc.",2013,355000.0
Lg Electronics,2018,32500.0
"Lhp Capital, Llc",2015,290000.0
"Liberty Bail Bonds, Inc.",2016,70000.0
Liberty Dental Plan Corporation,2023,107500.0
"Liberty Tire Recycling, Llc",2014,330000.0
Life Care Centers Of America,2020,320000.0
Life Care Physician Services,2011,107500.0
"Life Check Systems, Llc",2022,97500.0
"Life Science Logistics, Llc",2020,402500.0
Life Science Tennessee,2013,517500.0
Lifecare Heritage Dba Lifecare Foundations,2023,30000.0
Lifepoint Health,2015,2435000.0
Lifetouch National School Studios Inc.,2015,20000.0
Lightem Up,2014,45000.0
"Lime Bike, Inc.",2019,10000.0
"Liminex, Inc Dba Goguardian",2022,130000.0
Lindsay Corporation C/O Multistate Associates Inc.,2018,45000.0
Lipscomb University,2012,405000.0
Livanova,2016,270000.0
Live Nation - Ticketmaster,2011,1217500.0
Livelikelou Foundation,2022,80000.0
Lkq Corp,2014,2405000.0
"Loblolly Ventures, Llc",2023,97500.0
Lockridge Grindal Nauen Pllp,2013,45000.0
Lojac Enterprises Inc.,2014,235000.0
Lorraine Civil Rights Foundation Dba National Civil Rights Museum,2022,142500.0
Lothlorien,2020,80000.0
Lp Building Solutions,2023,97500.0
Lpl Financial Llc,2021,60000.0
Luvbum,2024,45000.0
Lyft Inc.,2015,772500.0
"Lynx Strategies, Llc",2024,55000.0
"M&R Strategic Services, Inc.",2014,117500.0
MacKinac Center Action,2024,107500.0
MacKinac Center For Public Policy,2021,97500.0
MacQuarie Capital,2024,32500.0
Magellan Health Services,2013,560000.0
"Magna Services Of America, Inc.",2019,140000.0
Man Up Teacher Fellowship,2024,90000.0
Maplebear Inc. (D/B/A Instacart),2018,45000.0
Marijuana Policy Project,2017,10000.0
Marion-Bradley Fwks Retailers,2011,22500.0
Mark43 Inc,2021,285000.0
"Marriott Hotel Services, Inc.",2020,52500.0
Marsh Usa Llc,2023,87500.0
Marsy'S Law For All,2019,1327500.0
"Martin Daniel, State Representative",2019,42500.0
Martinique,2019,67500.0
Mary Trapnell,2025,22500.0
Maryville College,2024,107500.0
"Massage Envy Green Hills, Llc",2022,105000.0
Matter Health Of Tennessee,2023,50000.0
"Matter Health Technology, Inc",2022,85000.0
"Maxim Healthcare Services, Inc.",2014,275000.0
"Maymead, Inc.",2020,45000.0
Maynard Select Llc,2013,32500.0
"Mbsc Black Creek, Llc.",2020,460000.0
"Mc Global Holdings, Llc",2022,117500.0
McCrory Lane Partners Llc,2021,65000.0
"McGraw-Hill Global Education Holdings, Llc",2014,32500.0
McGuiness Group,2013,52500.0
McKee Foods Corporation,2014,160000.0
McKellar|Hyde,2013,72500.0
McKesson Corporation,2014,647500.0
"McKinstry Viridis, Llc",2025,22500.0
"McLemore Auction Company, Llc",2018,20000.0
"Mead Johnson Nutrition Company; Mead Johnson & Company, Llc",2011,100000.0
Measurement Incorporated,2015,60000.0
"Mecum Auction, Inc.",2018,337500.0
"Media, Entertainment & Technology Alliance, Inc.",2018,32500.0
Medicaid Done Right,2020,30000.0
"Medical Management International, Inc. Dba Banfield Pet Hospital",2016,20000.0
Medimmune,2011,762500.0
"Medmanagement, Inc.",2011,260000.0
Mednax Health Solutions Partner,2016,582500.0
Mellon Financial Corporation #1,2020,30000.0
Memorial Health Care System,2011,957500.0
Memphis & Shelby Co. Film And Television Commission Foundation Inc.,2023,20000.0
"Memphis 901 Fc, Llc",2022,62500.0
"Memphis Botanic Garden Foundation, Inc.",2022,87500.0
Memphis Brooks Museum Of Art Inc,2023,120000.0
Memphis Center For Reproductive Health,2015,255000.0
Memphis City Center Revenue Finance Corporation,2018,355000.0
Memphis Convention & Visitors Bureau,2024,130000.0
Memphis Grizzlies And Fedex Forum,2013,695000.0
"Memphis In May International Festival, Inc",2017,77500.0
Memphis Oral School For The Deaf,2011,80000.0
Memphis Pathology Laboratory Dba American Esoteric Laboratories,2012,387500.0
"Memphis Rock & Soul, Inc.",2023,177500.0
Memphis Shelby Crime Commission,2023,460000.0
Memphis Teacher Residency,2024,165000.0
Memphis Tomorrow,2020,95000.0
Memphis Zoological Society,2025,22500.0
Memphis-Shelby County Airport Authority,2022,277500.0
Men Of Valor,2023,215000.0
Men'S Health Network,2023,72500.0
Mental Health America Of Middle Tennessee,2013,240000.0
Mercy Lounge,2013,65000.0
Merit International Inc,2020,227500.0
"Merrill Lynch, Pierce, Fenner & Smith, Incorporated",2011,20000.0
"Merscorp Holdings, Inc. C/O Multistate Associates Inc.",2013,130000.0
"Meta Platforms, Inc.",2021,425000.0
"Metal Management Memphis, L.L.C.",2011,20000.0
Metrc Llc,2019,200000.0
Metro Livery,2013,10000.0
Metroplolitan Knoxville Airport Authority,2015,165000.0
Metropolis,2024,150000.0
Metropolitan Knoxville Airport Authority,2018,362500.0
Metropolitan Life Insurance Company,2015,395000.0
Metropolitan Nashville Airport Authority,2011,1157500.0
Mfa Joint Venture Llc,2025,45000.0
"Mgt Impact Solutions, Llc",2024,107500.0
Mhm Metals Corporation,2011,10000.0
"Michael Brady, Inc.",2011,280000.0
Microvote General Corporation,2018,375000.0
Mid-South Carpenters Regional Council,2011,397500.0
"Mid-South Feed & Seed, Llc",2016,110000.0
"Mid-State Construction Company, Inc.",2023,192500.0
"Mid-State Mobile Concrete, Inc.",2013,20000.0
"Middle Tennessee Detention Center, Llc",2015,257500.0
Middle Tennessee Electric,2022,602500.0
"Midsouth Golf Carts, Llc",2018,32500.0
Midtown Consulting Group,2014,42500.0
Midwest Holding,2021,60000.0
Mike Fussell,2011,45000.0
Millennium Laboratories,2011,182500.0
"Millennium Pharmaceuticals, Inc.",2011,65000.0
Mind Medicine (Mindmed) Inc.,2025,42500.0
Mlu Services Inc,2022,40000.0
Mmjtn,2019,42500.0
"Mobilitie, Llc",2016,175000.0
Modern Ag Alliance,2025,185000.0
"Molina Healthcare, Inc.",2019,332500.0
Molson Coors Beverage Company Usa Llc,2023,122500.0
Momentum Nonprofit Partners,2023,22500.0
"Monroe Development Partners, Llc",2017,152500.0
Montgomery County Economic Development Council,2024,127500.0
Moonshot Sports,2020,65000.0
"Moore Construction Co., Inc.",2022,252500.0
Morphotrust Usa,2012,67500.0
Morrison & Foerster Llp On Behalf Of The Money Services Round Table,2019,85000.0
"Motor Vehicle Protection Product Association, Inc.",2017,105000.0
Motorola,2011,1187500.0
Mtx Group Inc,2024,282500.0
Music City Center,2020,225000.0
Music City Prep Center,2021,90000.0
Music City Roofers,2023,110000.0
"Music City Surgery Center, Llc",2022,225000.0
Music For Seniors,2025,20000.0
Music Venue Alliance Nashville,2024,90000.0
"Mutualink, Inc.",2023,245000.0
Muzology,2021,32500.0
"Mwb Enterprises, Llc",2017,40000.0
Mycityrides,2023,52500.0
Mylan Inc.,2013,85000.0
"Mythics, Inc.",2017,32500.0
Napa,2024,107500.0
"Naphcare, Inc.",2021,107500.0
Nashville Business Coalition,2020,360000.0
Nashville Coin Gallery,2012,20000.0
Nashville Diaper Connection,2025,32500.0
Nashville Downtown Partnership,2025,52500.0
Nashville Kennel Club,2012,280000.0
Nashville Predators,2018,922500.0
"Nashville Soccer Holdings, Llc",2017,407500.0
Nashville Teacher Residency,2023,120000.0
Nashville Technology Council,2018,190000.0
Nashville Transportainment Association,2021,330000.0
"Nashville Zoo, Inc.",2013,672500.0
Nashvillehealth,2019,155000.0
Nat'L Assn Of Professional Employer Organziations,2012,52500.0
Nateland Productions Llc,2025,20000.0
National Association For Gun Rights,2019,72500.0
National Association Of Mutual Insurance Companies (Namic),2017,267500.0
National Association Of Security Companies,2022,32500.0
National Association Of Settlement Purchasers,2011,65000.0
National Association Of Veterinary Technicians In America,2017,55000.0
National Basketball Association,2019,227500.0
National Basketball Players Association,2013,97500.0
National Coalition For Public School Options,2020,117500.0
National College,2016,642500.0
National Council Of State Boards Of Nursing,2016,45000.0
National Football League,2018,102500.0
National Heritage Academies,2013,822500.0
National Hockey League Players Association,2013,110000.0
National Home Service Contract Association,2011,52500.0
National Infusion Center Association,2022,52500.0
National Insurance Crime Bureau,2022,125000.0
National Joint Powers Alliance,2012,10000.0
National Marine Manufacturers Association (Nmma),2025,20000.0
"National Mentor Holdings, Llc",2025,10000.0
National Mining Association,2014,67500.0
National Museum Of African American Music,2019,115000.0
"National Organization For Rare Disorders, Inc.",2023,50000.0
National Ornamental Metal Museum,2023,222500.0
National Panhellenic Conference,2018,20000.0
National Popular Vote Initiative,2016,87500.0
National Premium Finance Association,2013,107500.0
National Psoriasis Foundation,2020,50000.0
National Rental Home Council (Nrhc),2018,255000.0
National Research Center,2020,65000.0
"National Seating & Mobility, Inc.",2012,22500.0
"National Shooting Sports Foundation, Inc.",2015,92500.0
"National Strategies, Llc",2022,82500.0
"National Tobacco Company, L.P.",2011,477500.0
"National Transportation Research Center, Inc.",2013,137500.0
National Trust For Historic Preservation,2019,30000.0
National Utility Contractors Association Of Middle Tennessee,2022,65000.0
National Waste And Recycling Association,2023,287500.0
National Wildlife Federation Action Fund,2025,42500.0
Nationwide General Insurance Company,2012,612500.0
Nationwide Mutual Insurance Company,2025,10000.0
"Natural Resources Defense Council, Inc.",2011,20000.0
Navient,2014,405000.0
Ncc Holdings Llc,2024,20000.0
"Nds Sales, Llc",2022,52500.0
Neighborhood Health,2018,117500.0
"Neighborhood Preservation, Inc.",2016,500000.0
Neo Philanthropy,2021,230000.0
"Netapp, Inc.",2012,145000.0
Netchoice,2022,60000.0
"Neurocrine Biosciences, Inc.",2021,100000.0
Neurorestorative Tennessee,2012,52500.0
"Neutron Holdings, Inc. Dba Lime",2019,90000.0
"New Classrooms Innovation Partners, Inc",2025,10000.0
New Era Farms Llc,2016,332500.0
"New Hope Health, Llc",2020,85000.0
New Life Medicine,2023,145000.0
New Merdian Corporation,2018,120000.0
New Venture Fund,2017,172500.0
"Nextera Energy Resources, Llc",2022,277500.0
"Nike, Inc.",2012,52500.0
Niva,2024,65000.0
"Noble Education, Inc.",2019,1137500.0
Nola Education Llc,2022,180000.0
Nomi Health Inc,2021,212500.0
"North America Outdoors Inc, Dba America Outdoors Association",2015,107500.0
North American Caviar,2024,30000.0
North American Deer Farmers Association,2011,65000.0
North Fund,2020,20000.0
North-American Interfraternity Conference,2018,20000.0
Northgatearinso,2012,32500.0
Northrop Grumman Corporation,2014,45000.0
Not Alone,2013,22500.0
"Notarize, Inc.",2018,65000.0
Novo Nordisk,2014,727500.0
Novonix Anode Materials Llc,2022,72500.0
"Ns4Ed, Llc.",2021,165000.0
"Nside, Inc",2022,415000.0
"Ntt Data State Health Consulting, Llc (Fka Cognosante Consulting, Llc)",2019,60000.0
Nurse Family Partnership,2019,432500.0
Nurture The Next,2020,227500.0
Oakstone Land & Capital,2021,150000.0
Oasis Legal Finance,2011,332500.0
Obion County Chamber Of Commerce,2015,460000.0
Office Of The Commissioner Of Major League Baseball,2018,235000.0
Oklo Inc,2025,115000.0
"Old Dominick Distillery, Llc",2015,490000.0
"Ole Smoky Distillery, Llc",2013,65000.0
"Omaze, Inc.",2020,112500.0
"Omp Inc.,",2012,45000.0
"One Beale Hotel Company, Llc",2023,40000.0
"One Call Medical, Inc",2013,300000.0
One-To-One Health,2020,120000.0
Onmed,2025,10000.0
Open Road Foundation,2023,117500.0
Opportunity Solutions Project,2016,522500.0
Opportunity Tennessee,2025,10000.0
"Opry Mills Mall Limited Partnership, A Delaware Limited Partnership",2013,20000.0
"Opus Inspection, Inc.",2013,430000.0
Orano Usa Llc,2025,45000.0
"Orexo Us, Inc.",2013,122500.0
Organizing For Action,2014,20000.0
Organon Llc,2021,62500.0
Origis Development Llc,2022,330000.0
Othram,2024,32500.0
"Otsuka America Pharmaceutical, Inc.",2012,242500.0
Otsuka Pharmaceutical Development & Commercialization,2014,20000.0
Our Kids Inc,2025,10000.0
Outdoor Nation,2013,72500.0
Outfront Media,2021,150000.0
Owens Corning,2022,60000.0
"Owlet Baby Care, Inc",2018,32500.0
"Oz Events, Llc",2012,30000.0
Pacific Legal Foundation,2025,20000.0
Padagis Us Llc,2025,20000.0
Palantir Technologies Inc.,2025,65000.0
Parent Power Fund,2013,50000.0
Parent Revolution,2013,20000.0
Parking Enforcement Professionals Tn Inc.,2025,52500.0
Parsons Environment & Infrastructure Group Inc.,2018,117500.0
Partnership For A New American Economy Action Fund,2015,187500.0
"Partnership Management Services, Inc.",2017,32500.0
Path Company,2020,440000.0
Pathgroup,2020,257500.0
"Pathway Healthcare, Llc",2019,72500.0
Patients For Fair Compensation,2014,535000.0
Patriot Angels Consulting Corporation,2022,20000.0
"Pavement Restorations, Inc",2017,120000.0
"Payit, Llc",2017,435000.0
Payments Coalition,2023,182500.0
Pc Solutions & Integration,2016,22500.0
Pde Action,2023,40000.0
Pdt Communications Ltd,2013,10000.0
"Pear Therapeutics (Us), Inc.",2021,95000.0
Pearson Education,2015,1137500.0
"Peer Power Foundation, Inc.",2024,45000.0
Peloton Technology,2017,85000.0
Penn Entertainment,2023,20000.0
Penn Foster,2024,127500.0
"Penn National Gaming, Inc.",2021,55000.0
Pennington Distilling Company,2021,117500.0
People First,2018,30000.0
