company_name,year,amount
"Anesthesia Medical Group, P.C.",2024,187500.0
Anesthesia Services Associates,2014,260000.0
Anheuser-Busch,2011,1887500.0
Animal Policy Group,2024,20000.0
"Apex Clean Energy Management, Llc",2017,137500.0
Apollo Education Group,2013,412500.0
Appalachian Voices,2012,85000.0
Apple Inc.,2014,395000.0
Appriss Insights,2012,682500.0
"Aramark Correctional Services, Llc",2011,835000.0
"Aramark Educational Services, Llc",2013,42500.0
"Aramark Management Services, Lp",2017,85000.0
"Aramark Sports & Entertainment, Llc",2016,65000.0
Arcare,2025,10000.0
Arconic,2016,427500.0
"Arcus Hunting, Llc",2018,30000.0
Argand Holdings Llc Dba Revolytic,2014,42500.0
Argentum,2022,405000.0
Ariva Health Plan Inc.,2011,10000.0
Armoured One Llc,2024,365000.0
Arrival Automotive Usa Inc,2022,20000.0
Artanis Emergency Communities,2025,52500.0
Artazn Llc,2021,285000.0
Arthritis Foundation Inc.,2020,472500.0
Article Iv,2022,85000.0
Arts & Culture Alliance Of Greater Knoxville,2023,42500.0
"Asa Engineering & Consulting, Inc.",2014,152500.0
Ash Grove Cement Company,2016,60000.0
Aspire Foundation,2020,115000.0
Aspire Public Schools,2012,77500.0
Associated Commodities Corporation,2017,62500.0
Association For Accessible Medicines,2022,80000.0
Association For Consumer Debt Relief C/O Multistate Associates Llc,2025,45000.0
Association For Responsible Alternatives To Workers' Compensation,2014,255000.0
Association For The Future Of Film & Television,2011,40000.0
Association Of American Publishers C/O Multistate Associates Inc.,2014,97500.0
Association Of Equipment Manufacturers,2024,20000.0
"Association Of Global Automakers, Inc.",2017,20000.0
Association Of Health Information Outsourcing Services (Ahios) C/O Multistate Associates Llc,2023,130000.0
Association Of Health Information Outsourcing Services C/O Multistate Associates Inc. (Ahios),2022,10000.0
Association Of Perioperative Registered Nurses,2019,55000.0
Association Of Tennessee Life Insurance Companies,2022,115000.0
Asurion,2015,610000.0
Attend Behavior,2025,10000.0
"Attenti Us, Inc.",2020,85000.0
"Aunt Bertha, A Public Benefit Corporation D/B/A Findhelp",2022,240000.0
Aurora Properties Llc,2017,210000.0
Autism Speaks,2013,390000.0
Autobase Inc.,2024,112500.0
"Autodesk, Inc.",2015,75000.0
Automated Health Systems,2014,222500.0
Automated Healthcare Solutions,2015,167500.0
Avalon Healthcare Solutions,2022,152500.0
"Avanir Pharmaceuticals, Inc.",2015,60000.0
Avaya,2012,705000.0
Avenue Diner Llc,2016,75000.0
"Averitt Aviation Group, Inc.",2011,62500.0
"Averitt Express, Inc.",2017,20000.0
Avesis,2022,117500.0
"Aviagen, Inc.",2019,370000.0
"Avr Investments, Llc",2024,45000.0
"Axon Enterprise, Inc.",2017,577500.0
"B&W Farms, Llc",2021,42500.0
"Bacon Farmer Workman Engineering & Testing, Inc.",2011,872500.0
Ballad Health,2018,5257500.0
Bank Of America,2011,1445000.0
Bank Of Bartlett,2015,20000.0
"Bare Knuckle Fighting, Llc",2021,20000.0
Baron Huber,2019,20000.0
Barry Goldwater Institute For Public Policy Research,2024,90000.0
Barry Road Partners Llc,2024,137500.0
"Bass Pro, Llc",2015,20000.0
Baxalta,2016,10000.0
Baxalta Us Inc.,2015,10000.0
Bayer Corporation,2013,737500.0
"Bc Property Ii, Lc",2022,180000.0
Bd,2018,32500.0
"Bdo Government Services, Llc",2025,80000.0
Bdp Large Cities Housing Capital Management,2025,102500.0
Bdt Beverage,2015,42500.0
Beacon Center Of Tennessee,2011,1805000.0
"Beauty Basics, Inc",2013,55000.0
Beckman Coulter Inc.,2020,30000.0
Bell & Associates Construction,2017,615000.0
Ben Farmer,2023,42500.0
Beretta U.S.A. Corp.,2014,347500.0
"Bernhard Energy, Llc",2018,152500.0
Best Buy,2016,305000.0
Best Friends Animal Society,2017,40000.0
Bethany Christian Services,2023,32500.0
"Betmgm, Llc",2021,22500.0
Beverage Association Of Tennessee,2017,3282500.0
Bic Corporation,2025,65000.0
Bicycle Health,2025,42500.0
Biltmore Property Group,2018,45000.0
"Binti, Inc.",2022,110000.0
Biodelivery Sciences International,2015,30000.0
Biogen,2016,200000.0
Biotechnology Innovation Organization (Bio),2016,225000.0
"Bird Rides, Inc.",2019,537500.0
Bitcoin Depot,2025,10000.0
"Black Alliance For Educational Options Action Fund, Inc.",2015,52500.0
Black Coffee Justice,2022,50000.0
Black Investor Club Llc,2025,20000.0
Black Swan Digital Forensics,2017,20000.0
Blackberry,2023,80000.0
Blackbird Capital Ii Llc,2020,515000.0
"Blackhawk Network, Inc.",2023,20000.0
"Blackrock Funds Services Group, Llc",2024,320000.0
Blackstone Administrative Services Partnership L.P.,2024,282500.0
Blakeford Senior Life,2025,52500.0
"Block, Inc",2023,20000.0
"Blount Memorial Hospital, Incorporated",2022,75000.0
Blount Partnership,2017,472500.0
"Blue Line Solutions, Llc",2021,202500.0
