company_name,filing_period_raw,filing_period_display,end_year,lobbyist_compensation,lobbying_related_expenses,total
3M Company,2013-01-01-2013-06-30,Jan–Jun 2013,2013,37500.0,5000.0,42500.0
3M Company,2012-07-01-2012-12-31,Jul–Dec 2012,2012,17500.0,5000.0,22500.0
3M Company,2012-01-01-2012-06-30,Jan–Jun 2012,2012,37500.0,5000.0,42500.0
3M Company,2011-04-01-2011-12-31,Apr–Dec 2011,2011,37500.0,5000.0,42500.0
3M Company,2010-10-01-2011-03-31,Oct–Mar 2011,2011,37500.0,5000.0,42500.0
50 Can Action Dba/Fccs Action,2025-07-01-2025-12-31,Jul–Dec 2025,2025,5000.0,5000.0,10000.0
50 Can Action Dba/Fccs Action,2025-01-01-2025-06-30,Jan–Jun 2025,2025,5000.0,5000.0,10000.0
"511 Group, Inc",2013-07-01-2013-12-31,Jul–Dec 2013,2013,5000.0,5000.0,10000.0
"511 Group, Inc",2013-01-01-2013-06-30,Jan–Jun 2013,2013,17500.0,5000.0,22500.0
"511 Group, Inc",2012-07-01-2012-12-31,Jul–Dec 2012,2012,17500.0,5000.0,22500.0
"615Gp, Llc",2025-07-01-2025-12-31,Jul–Dec 2025,2025,75000.0,5000.0,80000.0
"615Gp, Llc",2025-01-01-2025-06-30,Jan–Jun 2025,2025,37500.0,5000.0,42500.0
"615Gp, Llc",2024-07-01-2024-12-31,Jul–Dec 2024,2024,75000.0,5000.0,80000.0
"615Gp, Llc",2024-01-01-2024-06-30,Jan–Jun 2024,2024,37500.0,5000.0,42500.0
"615Gp, Llc",2023-07-01-2023-12-31,Jul–Dec 2023,2023,17500.0,5000.0,22500.0
"615Gp, Llc",2023-01-01-2023-06-30,Jan–Jun 2023,2023,37500.0,5000.0,42500.0
"615Gp, Llc",2022-07-01-2022-12-31,Jul–Dec 2022,2022,17500.0,5000.0,22500.0
"615Gp, Llc",2022-01-01-2022-06-30,Jan–Jun 2022,2022,17500.0,5000.0,22500.0
"615Gp, Llc",2021-07-01-2021-12-31,Jul–Dec 2021,2021,17500.0,5000.0,22500.0
80/20 Entertainment,2013-07-01-2013-12-31,Jul–Dec 2013,2013,5000.0,5000.0,10000.0
80/20 Entertainment,2013-01-01-2013-06-30,Jan–Jun 2013,2013,5000.0,5000.0,10000.0
A Better Balance,2025-07-01-2025-12-31,Jul–Dec 2025,2025,17500.0,5000.0,22500.0
A Better Balance,2025-01-01-2025-06-30,Jan–Jun 2025,2025,5000.0,5000.0,10000.0
A Better Balance,2024-07-01-2024-12-31,Jul–Dec 2024,2024,5000.0,5000.0,10000.0
A Better Balance,2024-01-01-2024-06-30,Jan–Jun 2024,2024,5000.0,5000.0,10000.0
A Better Balance,2023-07-01-2023-12-31,Jul–Dec 2023,2023,5000.0,5000.0,10000.0
A Better Balance,2023-01-01-2023-06-30,Jan–Jun 2023,2023,5000.0,5000.0,10000.0
A Better Balance,2022-07-01-2022-12-31,Jul–Dec 2022,2022,5000.0,5000.0,10000.0
A Better Balance,2022-01-01-2022-06-30,Jan–Jun 2022,2022,5000.0,5000.0,10000.0
A Better Balance,2021-07-01-2021-12-31,Jul–Dec 2021,2021,5000.0,5000.0,10000.0
A Better Balance,2021-01-01-2021-06-30,Jan–Jun 2021,2021,5000.0,5000.0,10000.0
A Better Balance,2020-07-01-2020-12-31,Jul–Dec 2020,2020,5000.0,5000.0,10000.0
A Better Balance,2020-01-01-2020-06-30,Jan–Jun 2020,2020,5000.0,5000.0,10000.0
"A Secret Safe Place For Newborns, Inc.",2025-07-01-2025-12-31,Jul–Dec 2025,2025,5000.0,5000.0,10000.0
"A Secret Safe Place For Newborns, Inc.",2025-01-01-2025-06-30,Jan–Jun 2025,2025,5000.0,5000.0,10000.0
"A Secret Safe Place For Newborns, Inc.",2024-07-01-2024-12-31,Jul–Dec 2024,2024,5000.0,5000.0,10000.0
"A Secret Safe Place For Newborns, Inc.",2024-01-01-2024-06-30,Jan–Jun 2024,2024,5000.0,5000.0,10000.0
"A Secret Safe Place For Newborns, Inc.",2023-07-01-2023-12-31,Jul–Dec 2023,2023,5000.0,5000.0,10000.0
"A Secret Safe Place For Newborns, Inc.",2023-01-01-2023-06-30,Jan–Jun 2023,2023,5000.0,5000.0,10000.0
A Soldier'S Child,2024-07-01-2024-12-31,Jul–Dec 2024,2024,5000.0,5000.0,10000.0
A Soldier'S Child,2024-01-01-2024-06-30,Jan–Jun 2024,2024,17500.0,5000.0,22500.0
A-1 Interlocks Inc,2014-01-01-2014-06-30,Jan–Jun 2014,2014,5000.0,5000.0,10000.0
A-1 Interlocks Inc,2013-07-01-2013-12-31,Jul–Dec 2013,2013,5000.0,5000.0,10000.0
A-1 Interlocks Inc,2013-01-01-2013-06-30,Jan–Jun 2013,2013,5000.0,5000.0,10000.0
A.O. Smith,2016-07-01-2016-12-31,Jul–Dec 2016,2016,5000.0,5000.0,10000.0
A.O. Smith,2016-01-01-2016-06-30,Jan–Jun 2016,2016,5000.0,5000.0,10000.0
A.O. Smith,2015-07-01-2015-12-31,Jul–Dec 2015,2015,37500.0,5000.0,42500.0
A.O. Smith,2015-01-01-2015-06-30,Jan–Jun 2015,2015,37500.0,5000.0,42500.0
A.O. Smith,2014-07-01-2014-12-31,Jul–Dec 2014,2014,37500.0,5000.0,42500.0
A.O. Smith,2014-01-01-2014-06-30,Jan–Jun 2014,2014,37500.0,5000.0,42500.0
A.O. Smith,2011-04-01-2011-12-31,Apr–Dec 2011,2011,5000.0,5000.0,10000.0
A.O. Smith,2010-10-01-2011-03-31,Oct–Mar 2011,2011,5000.0,5000.0,10000.0
AAA,2025-07-01-2025-12-31,Jul–Dec 2025,2025,5000.0,5000.0,10000.0
AAA,2025-01-01-2025-06-30,Jan–Jun 2025,2025,5000.0,5000.0,10000.0
AAA,2024-07-01-2024-12-31,Jul–Dec 2024,2024,5000.0,5000.0,10000.0
AAA,2024-01-01-2024-06-30,Jan–Jun 2024,2024,5000.0,5000.0,10000.0
AAA,2023-07-01-2023-12-31,Jul–Dec 2023,2023,5000.0,5000.0,10000.0
AAA,2023-01-01-2023-06-30,Jan–Jun 2023,2023,5000.0,5000.0,10000.0
AAA,2022-07-01-2022-12-31,Jul–Dec 2022,2022,5000.0,5000.0,10000.0
AAA,2022-01-01-2022-06-30,Jan–Jun 2022,2022,5000.0,5000.0,10000.0
AAA,2021-07-01-2021-12-31,Jul–Dec 2021,2021,5000.0,5000.0,10000.0
