entity_name,website,lob_total_15yr,lob_total_10yr,lob_total_5yr,lob_total_2025,has_lobbying,donor_type,cf_politician_reference,cf_total_15yr,cf_total_10yr,cf_total_5yr,cf_total_2025,has_cf,ie_politician_reference,ie_total_15yr,ie_total_10yr,ie_total_5yr,ie_total_2025,has_ie,grand_total_15yr,grand_total_10yr,grand_total_5yr,grand_total_2025,qualifies_15yr,qualifies_10yr,qualifies_5yr,qualifies_2025
Corecivic,,2740000.0,2100000.0,1250000.0,260000.0,True,Company,0,1391500.0,1103500.0,634200.0,216200.0,True,0.0,0.0,0.0,0.0,0.0,False,4131500.0,3203500.0,1884200.0,476200.0,True,True,True,True
Eastman Chemical Company,,3652500.0,2612500.0,1312500.0,260000.0,True,Company,0,414850.0,203300.0,54700.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,4067350.0,2815800.0,1367200.0,260000.0,True,True,True,True
Tennessee Bar Association,,3977500.0,2857500.0,1162500.0,260000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,3977500.0,2857500.0,1162500.0,260000.0,True,True,True,True
Tennessee Broadband Association - Telecommunications Association,,2887500.0,2400000.0,1600000.0,360000.0,True,Company,0,1000800.0,817950.0,447800.0,141600.0,True,0.0,0.0,0.0,0.0,0.0,False,3888300.0,3217950.0,2047800.0,501600.0,True,True,True,True
Vanderbilt University,,3845000.0,2915000.0,1350000.0,310000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,3845000.0,2915000.0,1350000.0,310000.0,True,True,True,True
Tennessee Bankers Association,,620000.0,490000.0,327500.0,52500.0,True,Company,0,3194050.0,2429200.0,1388550.0,332500.0,True,0.0,0.0,0.0,0.0,0.0,False,3814050.0,2919200.0,1716050.0,385000.0,True,True,True,True
Amazon,,2240000.0,1675000.0,1100000.0,210000.0,True,Company,0,1545950.0,1545950.0,1051150.0,234000.0,True,0.0,0.0,0.0,0.0,0.0,False,3785950.0,3220950.0,2151150.0,444000.0,True,True,True,True
Methodist Le Bonheur Healthcare,,3735000.0,2582500.0,1000000.0,260000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,3735000.0,2582500.0,1000000.0,260000.0,True,True,True,True
Club For Growth - School Freedom Fund,,0.0,0.0,0.0,0.0,False,,0,0.0,0.0,0.0,0.0,False,0.0,3636145.15,3636145.15,3636145.15,0.0,True,3636145.15,3636145.15,3636145.15,0.0,True,True,True,False
Public Entity Partners,,3602500.0,2812500.0,1212500.0,260000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,3602500.0,2812500.0,1212500.0,260000.0,True,True,True,True
Home Builders Association Of Tennessee,,2722500.0,1782500.0,632500.0,85000.0,True,Company,0,855175.0,779325.0,501125.0,84500.0,True,0.0,0.0,0.0,0.0,0.0,False,3577675.0,2561825.0,1133625.0,169500.0,True,True,True,True
Jack Daniel'S/Brown-Forman,,2040000.0,1650000.0,850000.0,210000.0,True,Company,0,1465050.0,1057350.0,505250.0,106000.0,True,0.0,0.0,0.0,0.0,0.0,False,3505050.0,2707350.0,1355250.0,316000.0,True,True,True,True
Bluecross Blueshield Of Tennessee,,1767500.0,687500.0,262500.0,52500.0,True,Company,0,1734950.0,1477150.0,797200.0,208000.0,True,0.0,0.0,0.0,0.0,0.0,False,3502450.0,2164650.0,1059700.0,260500.0,True,True,True,True
Comcast,,2240000.0,1600000.0,650000.0,0.0,True,Company,0,1167280.0,826551.0,367050.0,65800.0,True,0.0,0.0,0.0,0.0,0.0,False,3407280.0,2426551.0,1017050.0,65800.0,True,True,True,True
Tennessee State Employees Association,,1972500.0,1607500.0,800000.0,160000.0,True,Company,0,1338268.0,815777.0,288077.0,21825.0,True,0.0,88576.94,88576.94,17022.0,0.0,True,3399344.94,2511853.94,1105099.0,181825.0,True,True,True,True
American Petroleum Institute,,3390000.0,2500000.0,800000.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,3390000.0,2500000.0,800000.0,160000.0,True,True,True,True
