politician_key,display_name,party,city,account_type,current_elected,current_seat,running_in_2026
"Price, Scott",Scott Price (Democrat of Tullahoma),Democrat,Tullahoma,Campaign Account,No,,No
"Barnes, Tim",Tim Barnes (Democrat of Clarksville),Democrat,Clarksville,Campaign Account,No,,No
"Morgan, Phil",Phil Morgan (Republican of Newport),Republican,Newport,Campaign Account,No,,No
"Monroe, Tona",Tona Monroe (Republican of Greenback),Republican,Greenback,Campaign Account,No,,No
"Ewell, Brock",Brock Ewell (Republican of Portland),Republican,Portland,Campaign Account,No,,No
"Pruitt, Mary",Mary Pruitt (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Harring, Ryan",Ryan Harring (Republican of Murfreesboro),Republican,Murfreesboro,Campaign Account,No,,No
"Breeding, Shelley S.",Shelley S. Breeding (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Roller, Steve",Steve Roller (Democrat of Mcminville),Democrat,Mcminville,Campaign Account,No,,No
"Chance, Eric",Eric Chance (Republican of Morrison),Republican,Morrison,Campaign Account,No,,No
"Caskey, Grady E.",Grady E. Caskey (Republican of Maryville),Republican,Maryville,Campaign Account,No,,No
"Elam, Linda",Linda Elam (Republican of Mt. Juliet),Republican,Mt. Juliet,Campaign Account,No,,No
"Rice, Hobart L.",Hobart L. Rice (Republican of Dandridge),Republican,Dandridge,Campaign Account,No,,No
"Sloan, Jon Roy",Jon Roy Sloan (Republican of Dickson),Republican,Dickson,Campaign Account,No,,No
"Haines, John L.",John L. Haines (Republican of Kingston Springs),Republican,Kingston Springs,Campaign Account,No,,No
"Harrell, James",James Harrell (Republican of Cordova),Republican,Cordova,Campaign Account,No,,No
"Mortensen, Rob",Rob Mortensen (Republican of Nashville),Republican,Nashville,Campaign Account,No,,No
"Mallicote, Benjamin K.",Benjamin K. Mallicote (Republican of Kingsport),Republican,Kingsport,Campaign Account,No,,No
"Lawrence, Kevin",Kevin Lawrence (Democrat of Viola),Democrat,Viola,Campaign Account,No,,No
"Griffith, Roger W.",Roger W. Griffith (Republican of Jefferson City),Republican,Jefferson City,Campaign Account,No,,No
"Miller, Jerome Q.",Jerome Q. Miller (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Waggoner, Derrick",Derrick Waggoner (Republican of Gruetli-Laager),Republican,Gruetli-Laager,Campaign Account,No,,No
"Pierce, William G. 'Bo'",William G. 'Bo' Pierce (Republican of Knoxville),Republican,Knoxville,Campaign Account,No,,No
"Curry, Shirley B.",Shirley B. Curry (Republican of Waynesboro),Republican,Waynesboro,Campaign Account,No,,No
"Degan, Woody",Woody Degan (Republican of Rossville),Republican,Rossville,Campaign Account,No,,No
"Brewer, Brian K.",Brian K. Brewer (Democrat of Columbia),Democrat,Columbia,Campaign Account,No,,No
"Deberry, Lois",Lois Deberry (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Horne, Johnny",Johnny Horne (Independent of Chattanooga),Independent,Chattanooga,Campaign Account,No,,Yes
"Hayes, Linda",Linda Hayes (Democrat of White Bluff),Democrat,White Bluff,Campaign Account,No,,No
"Cassady, Calvin",Calvin Cassady (Independent of Knoxville),Independent,Knoxville,Campaign Account,No,,No
"Hughes, Scott",Scott Hughes (Republican of Seymour),Republican,Seymour,Campaign Account,No,,No
"Wilson, Rick",Rick Wilson (Independent of Pleasant View),Independent,Pleasant View,Campaign Account,No,,No
"Lewis, Daniel T.",Daniel T. Lewis (Independent of Nashville),Independent,Nashville,Campaign Account,No,,No
"Baxter, Mary Rene",Mary Rene Baxter (Democrat of Lewisburg),Democrat,Lewisburg,Campaign Account,No,,No
"Williamson, Charles",Charles Williamson (Republican of Old Hickory),Republican,Old Hickory,Campaign Account,No,,No
"McCulley,  Joseph T.",Joseph T. McCulley (Republican of Knoxville),Republican,Knoxville,Campaign Account,No,,No
"Dockery, Michael",Michael Dockery (Democrat of New Market),Democrat,New Market,Campaign Account,No,,No
"Smith, Sandy Norris",Sandy Norris Smith (Democrat of East Ridge),Democrat,East Ridge,Campaign Account,No,,No
"McKee, Randal L.",Randal L. McKee (Republican of Munford),Republican,Munford,Campaign Account,No,,No
"Albright, Conneye  Thompson",Conneye Thompson Albright (Democrat of Millington),Democrat,Millington,Campaign Account,No,,No
"Wall, Peggy Hall",Peggy Hall Wall (Democrat of Niota),Democrat,Niota,Campaign Account,No,,No
"Dotson, Bruce",Bruce Dotson (Democrat of Kingsport),Democrat,Kingsport,Campaign Account,No,,No
"Gill, Evelyn",Evelyn Gill (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Hill, George Thomas",George Thomas Hill (Independent of Brighton),Independent,Brighton,Campaign Account,No,,No
"Allers, Tony",Tony Allers (Republican of Hendersonville),Republican,Hendersonville,Campaign Account,No,,No
"Ford, Dale",Dale Ford (Republican of Jonesborough),Republican,Jonesborough,Campaign Account,No,,No
"Kiser, Dennis",Dennis Kiser (Republican of Spring Hill),Republican,Spring Hill,Campaign Account,No,,No
"Winkler, Jamie D.",Jamie D. Winkler (Democrat of Carthage),Democrat,Carthage,Campaign Account,No,,No
"Taft, Larry C.",Larry C. Taft (Republican of Taft),Republican,Taft,Campaign Account,No,,No
"Dickey, H. Dean",H. Dean Dickey (Republican of Columbia),Republican,Columbia,Campaign Account,No,,No
"Gladden, Jonathan",Jonathan Gladden (Democrat of Ocoee),Democrat,Ocoee,Campaign Account,No,,No
"Harrell, Lee",Lee Harrell (Republican of White House),Republican,White House,Campaign Account,No,,No
"Bennington, L. Brock",L. Brock Bennington (Democrat of East Ridge),Democrat,East Ridge,Campaign Account,No,,No
"Turner, Steven",Steven Turner (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Binkley, Gary Allen",Gary Allen Binkley (Republican of Chapmansboro),Republican,Chapmansboro,Campaign Account,No,,No
