politician_key,display_name,party,city,account_type,current_elected,current_seat,running_in_2026
"Lowe, Adam",Adam Lowe (Republican of Cleveland),Republican,Cleveland,Campaign Account,Yes,Senate District 1,Yes
"Rudd, Tim",Tim Rudd (Republican of Murfreesboro),Republican,Murfreesboro,Campaign Account,Yes,House of Representatives 34,Yes
"Behn, Aftyn",Aftyn Behn (Democrat of Nashville),Democrat,Nashville,Campaign Account,Yes,House of Representatives 51,Yes
"Carr, Joe",Joe Carr (Republican of Lascassas),Republican,Lascassas,Pac,No,,No
"Terry, Bryan",Bryan Terry (Republican of Murfreesboro),Republican,Murfreesboro,Campaign Account,Yes,House of Representatives 48,Yes
"Stevens, John",John Stevens (Republican of Huntingdon),Republican,Huntingdon,Pac,Yes,Senate District 24,No
"McCalmon, Jake",Jake McCalmon (Republican of Brentwood),Republican,Brentwood,Campaign Account,Yes,House of Representatives 63,Yes
"Parkinson, Antonio",Antonio Parkinson (Democrat of Bartlett),Democrat,Bartlett,Campaign Account,Yes,House of Representatives 98,Yes
"Reeves, Lee",Lee Reeves (Republican of Franklin),Republican,Franklin,Campaign Account,Yes,House of Representatives 65,Yes
"Reeves, Shane",Shane Reeves (Republican of Murfreesboro),Republican,Murfreesboro,Campaign Account,Yes,Senate District 14,No
"Massey, Becky",Becky Massey (Republican of Knoxville),Republican,Knoxville,Campaign Account,Yes,Senate District 6,No
"Vital, Greg",Greg Vital (Republican of Georgetown),Republican,Georgetown,Campaign Account,Yes,House of Representatives 29,Yes
"Williams, Ryan",Ryan Williams (Republican of Cookeville),Republican,Cookeville,Pac,Yes,House of Representatives 42,Yes
"Johnson, Gloria",Gloria Johnson (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,Yes,House of Representatives 90,Yes
"Shaw, Johnny",Johnny Shaw (Democrat of Brownsville),Democrat,Brownsville,Campaign Account,Yes,House of Representatives 80,No
"Salinas, Gabby",Gabby Salinas (Democrat of Memphis),Democrat,Memphis,Campaign Account,Yes,House of Representatives 96,Yes
"Haston, Kirk",Kirk Haston (Republican of Lobelville),Republican,Lobelville,Campaign Account,Yes,House of Representatives 72,Yes
"Bailey, Paul",Paul Bailey (Republican of Cookeville),Republican,Cookeville,Campaign Account,Yes,Senate District 15,Yes
"Hale, Michael",Michael Hale (Republican of Smithville),Republican,Smithville,Campaign Account,Yes,House of Representatives 40,Yes
"Crowe, Rusty",Rusty Crowe (Republican of Johnson City),Republican,Johnson City,Campaign Account,Yes,Senate District 3,Yes
"Bowling, Janice",Janice Bowling (Republican of Tullahoma),Republican,Tullahoma,Campaign Account,Yes,Senate District 16,No
"Freeman, Bob",Bob Freeman (Democrat of Nashville),Democrat,Nashville,Campaign Account,Yes,House of Representatives 56,Yes
"Clemmons, John Ray",John Ray Clemmons (Democrat of Nashville),Democrat,Nashville,Campaign Account,Yes,House of Representatives 55,Yes
"Glynn, Ronnie",Ronnie Glynn (Democrat of Clarksville),Democrat,Clarksville,Campaign Account,Yes,House of Representatives 67,Yes
"Fritts, Monty",Monty Fritts (Republican of Kingston),Republican,Kingston,Campaign Account,Yes,Governor,Yes
"Love, Harold",Harold Love (Democrat of Nashville),Democrat,Nashville,Campaign Account,Yes,House of Representatives 58,Yes
"Warner, Todd",Todd Warner (Republican of Chapel Hill),Republican,Chapel Hill,Campaign Account,Yes,House of Representatives 92,Yes
"Woodlee, Michael",Michael Woodlee (Democrat of Spencer),Democrat,Spencer,Campaign Account,No,,Yes
"Baum, Charlie",Charlie Baum (Republican of Murfreesboro),Republican,Murfreesboro,Campaign Account,Yes,House of Representatives 37,Yes
"Martin, Greg",Greg Martin (Republican of Hixson),Republican,Hixson,Campaign Account,Yes,House of Representatives 26,Yes
"Haile, Ferrell",Ferrell Haile (Republican of Gallatin),Republican,Gallatin,Campaign Account,Yes,Senate District 18,No
"McKenzie, Sam",Sam McKenzie (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,Yes,House of Representatives 15,Yes
"Marsh, Pat",Pat Marsh (Republican of Shelbyville),Republican,Shelbyville,Campaign Account,Yes,House of Representatives 62,Yes
"White, Mark",Mark White (Republican of Memphis),Republican,Memphis,Campaign Account,Yes,House of Representatives 83,Yes
"Taylor, Brent",Brent Taylor (Republican of Memphis),Republican,Memphis,Campaign Account,Yes,Senate District 31,Yes
"Rose, Paul",Paul Rose (Republican of Memphis),Republican,Memphis,Campaign Account,Yes,Senate District 32,No
"Yarbro, Jeff",Jeff Yarbro (Democrat of Nashville),Democrat,Nashville,Campaign Account,Yes,Senate District 21,Yes
"Pearson, Justin",Justin Pearson (Democrat of Memphis),Democrat,Memphis,Campaign Account,Yes,House of Representatives 86,Yes
"Lamberth, William",William Lamberth (Republican of Hendersonville),Republican,Hendersonville,Pac,Yes,House of Representatives 44,Yes
"Oliver, Charlane",Charlane Oliver (Democrat of Nashville),Democrat,Nashville,Campaign Account,Yes,Senate District 19,Yes
"Crawford, John",John Crawford (Republican of Kingsport),Republican,Kingsport,Campaign Account,Yes,House of Representatives 1,Yes
"Howell, Dan",Dan Howell (Republican of Benton),Republican,Benton,Campaign Account,Yes,House of Representatives 22,Yes
"Moody, Debra",Debra Moody (Republican of Covington),Republican,Covington,Campaign Account,Yes,House of Representatives 81,No
"Raper, Kevin",Kevin Raper (Republican of Cleveland),Republican,Cleveland,Campaign Account,Yes,House of Representatives 24,Yes
"Leatherwood, Tom",Tom Leatherwood (Republican of Arlington),Republican,Arlington,Campaign Account,Yes,House of Representatives 99,Yes
"Martin, Brock",Brock Martin (Republican of Cedar Grove),Republican,Cedar Grove,Campaign Account,Yes,House of Representatives 79,Yes
"White, Dawn",Dawn White (Republican of Murfreesboro),Republican,Murfreesboro,Campaign Account,Yes,Senate District 13,Yes
"Bricken, Rush",Rush Bricken (Republican of Manchester),Republican,Manchester,Campaign Account,Yes,House of Representatives 47,Yes
"Hill, Timothy",Timothy Hill (Republican of Blountville),Republican,Blountville,Campaign Account,Yes,House of Representatives 3,Yes
"Cepicky, Scott",Scott Cepicky (Republican of Columbia),Republican,Columbia,Campaign Account,Yes,House of Representatives 64,Yes
"Dallas, James Evan",James Evan Dallas (Democrat of Columbia),Democrat,Columbia,Campaign Account,No,,No
"Russell, Lowell",Lowell Russell (Republican of Sweetwater),Republican,Sweetwater,Campaign Account,Yes,House of Representatives 21,Yes
"Stevens, Robert",Robert Stevens (Republican of Smyrna),Republican,Smyrna,Campaign Account,Yes,House of Representatives 13,Yes
"McNally, Randy",Randy McNally (Republican of Oak Ridge),Republican,Oak Ridge,Pac,Yes,Senate District 5,No
"Gardenhire, Todd",Todd Gardenhire (Republican of Chattanooga),Republican,Chattanooga,Campaign Account,Yes,Senate District 10,No
"Harshbarger, Bobby",Bobby Harshbarger (Republican of Kingsport),Republican,Kingsport,Campaign Account,Yes,Senate District 4,No
"Smiley,  Jb",Jb Smiley (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Carringer, Michele",Michele Carringer (Republican of Knoxville),Republican,Knoxville,Campaign Account,Yes,House of Representatives 16,Yes
"Bobo, Chad",Chad Bobo (Republican of Hermitage),Republican,Hermitage,Campaign Account,No,,No
"Scarbrough, Rick",Rick Scarbrough (Republican of Clinton),Republican,Clinton,Campaign Account,Yes,House of Representatives 33,Yes
"Barrett, Jody",Jody Barrett (Republican of Lyles),Republican,Lyles,Campaign Account,Yes,House of Representatives 69,Yes
"Jones, Renea",Renea Jones (Republican of Unicoi),Republican,Unicoi,Campaign Account,Yes,House of Representatives 4,Yes
"Lamar, London",London Lamar (Democrat of Memphis),Democrat,Memphis,Campaign Account,Yes,House of Representatives District 91,Yes
"Stinnett, Tom",Tom Stinnett (Republican of Maryville),Republican,Maryville,Campaign Account,Yes,House of Representatives 20,Yes
"Littleton, Mary",Mary Littleton (Republican of White Bluff),Republican,White Bluff,Campaign Account,Yes,House of Representatives 78,No
"Davis, Elaine",Elaine Davis (Republican of Knoxville),Republican,Knoxville,Campaign Account,Yes,House of Representatives 18,Yes
"Doggett, Clay",Clay Doggett (Republican of Pulaski),Republican,Pulaski,Campaign Account,Yes,House of Representatives 70,Yes
"Humble, Gary",Gary Humble (Republican of Franklin),Republican,Franklin,Campaign Account,No,,No
"Pody, Mark",Mark Pody (Republican of Lebanon),Republican,Lebanon,Campaign Account,Yes,Senate District 17,Yes
"Rudder, Iris",Iris Rudder (Republican of Winchester),Republican,Winchester,Campaign Account,Yes,House of Representatives 39,Yes
"Moon, Jerome",Jerome Moon (Republican of Maryville),Republican,Maryville,Campaign Account,Yes,House of Representatives 8,No
"Butler, Ed",Ed Butler (Republican of Cookeville),Republican,Cookeville,Campaign Account,Yes,House of Representatives 41,Yes
"Eldridge, Rick",Rick Eldridge (Republican of Morristown),Republican,Morristown,Campaign Account,Yes,House of Representatives 10,Yes
"Seal, Jessie",Jessie Seal (Republican of Tazewell),Republican,Tazewell,Campaign Account,Yes,Senate District 8,No
"Keisling, Kelly",Kelly Keisling (Republican of Byrdstown),Republican,Byrdstown,Campaign Account,Yes,House of Representatives 38,Yes
"Grills, Rusty",Rusty Grills (Republican of Newbern),Republican,Newbern,Campaign Account,Yes,House of Representatives 77,Yes
"Kumar, Sabi",Sabi Kumar (Republican of Springfield),Republican,Springfield,Campaign Account,Yes,House of Representatives 66,Yes
"Lynn, Susan",Susan Lynn (Republican of Mount Juliet),Republican,Mount Juliet,Campaign Account,Yes,House of Representatives 57,Yes
"Reedy, Jay",Jay Reedy (Republican of Erin),Republican,Erin,Campaign Account,Yes,House of Representatives 74,Yes
"Travis, Ron",Ron Travis (Republican of Dayton),Republican,Dayton,Campaign Account,Yes,House of Representatives 31,No
"Faison, Jeremy",Jeremy Faison (Republican of Cosby),Republican,Cosby,Campaign Account,Yes,House of Representatives 11,No
"Hakeem, Yusuf",Yusuf Hakeem (Democrat of Chattanooga),Democrat,Chattanooga,Campaign Account,Yes,House of Representatives 28,Yes
"Yager, Ken",Ken Yager (Republican of Kingston),Republican,Kingston,Pac,Yes,Senate District 12,No
"Campbell, Heidi",Heidi Campbell (Democrat of Nashville),Democrat,Nashville,Campaign Account,Yes,Senate District 20,No
"Lafferty, Justin",Justin Lafferty (Republican of Knoxville),Republican,Knoxville,Campaign Account,Yes,House of Representatives 89,Yes
"Gillespie, John",John Gillespie (Republican of Memphis),Republican,Memphis,Campaign Account,Yes,House of Representatives 97,Yes
"Hemmer, Caleb",Caleb Hemmer (Democrat of Nashville),Democrat,Nashville,Campaign Account,Yes,House of Representatives 59,No
"Slater, William",William Slater (Republican of Gallatin),Republican,Gallatin,Campaign Account,Yes,House of Representatives 35,Yes
"Atchley, Fred",Fred Atchley (Republican of Sevierville),Republican,Sevierville,Campaign Account,Yes,House of Representatives 12,Yes
"Todd, Chris",Chris Todd (Republican of Jackson),Republican,Jackson,Campaign Account,Yes,House of Representatives 73,Yes
"Beale, Alison",Alison Beale (Democrat of Hendersonville),Democrat,Hendersonville,Campaign Account,No,,No
"Carona, Ailina",Ailina Carona (Democrat of Mount Juliet),Democrat,Mount Juliet,Campaign Account,No,,No
"Farmer, Andrew",Andrew Farmer (Republican of Sevierville),Republican,Sevierville,Campaign Account,Yes,House of Representatives 17,Yes
"Akbari, Raumesh",Raumesh Akbari (Democrat of Memphis),Democrat,Memphis,Campaign Account,Yes,Senate District 29,Yes
"Dixie, Vincent",Vincent Dixie (Democrat of Nashville),Democrat,Nashville,Campaign Account,Yes,House of Representatives 54,Yes
"Maberry, Aron",Aron Maberry (Republican of Clarksville),Republican,Clarksville,Campaign Account,Yes,House of Representatives 68,Yes
"Sparks, Mike",Mike Sparks (Republican of Smyrna),Republican,Smyrna,Campaign Account,Yes,House of Representatives 49,Yes
"Miller, Larry",Larry Miller (Democrat of Memphis),Democrat,Memphis,Campaign Account,Yes,House of Representatives 88,Yes
"Vaughan, Kevin",Kevin Vaughan (Republican of Collierville),Republican,Collierville,Pac,Yes,House of Representatives 95,Yes
"Hawk, David",David Hawk (Republican of Greeneville),Republican,Greeneville,Campaign Account,Yes,House of Representatives 5,Yes
"Gant, Ron",Ron Gant (Republican of Rossville),Republican,Rossville,Campaign Account,Yes,House of Representatives 94,Yes
"Cochran, Mark",Mark Cochran (Republican of Englewood),Republican,Englewood,Campaign Account,Yes,House of Representatives 23,Yes
"Jones, Justin",Justin Jones (Democrat of Nashville),Democrat,Nashville,Campaign Account,Yes,House of Representatives 52,Yes
"Capley, Kip",Kip Capley (Republican of Summertown),Republican,Summertown,Campaign Account,Yes,House of Representatives 71,Yes
"Bulso, Gino",Gino Bulso (Republican of Brentwood),Republican,Brentwood,Campaign Account,Yes,House of Representatives 61,Yes
"Robertson, Brian",Brian Robertson (Democrat of Hendersonville),Democrat,Hendersonville,Campaign Account,No,,No
"Melton, Lexi",Lexi Melton (Democrat of Hartsville),Democrat,Hartsville,Campaign Account,No,,No
"Dunlap, W. Kevin",W. Kevin Dunlap (Democrat of Rock Island),Democrat,Rock Island,Campaign Account,No,,No
"Hicks, Gary",Gary Hicks (Republican of Rogersville),Republican,Rogersville,Campaign Account,Yes,House of Representatives 9,Yes
"Alexander, Rebecca",Rebecca Alexander (Republican of Jonesborough),Republican,Jonesborough,Campaign Account,Yes,House of Representatives 7,Yes
"Mitchell, Bo",Bo Mitchell (Democrat of Nashville),Democrat,Nashville,Campaign Account,Yes,House of Representatives 50,Yes
"Roberts, Kerry",Kerry Roberts (Republican of Springfield),Republican,Springfield,Campaign Account,Yes,Senate District 23,Yes
"Brooks, Shaundelle",Shaundelle Brooks (Democrat of Nashville),Democrat,Nashville,Campaign Account,Yes,House of Representatives 60,Yes
"Hazlewood, Patsy",Patsy Hazlewood (Republican of Signal Mountain),Republican,Signal Mountain,Pac,No,,No
"Walley, Page",Page Walley (Republican of Bolivar),Republican,Bolivar,Campaign Account,Yes,Senate District 26,No
"Jackson, Ed",Ed Jackson (Republican of Jackson),Republican,Jackson,Campaign Account,Yes,Senate District 25,Yes
"Hurt, Chris",Chris Hurt (Republican of Halls),Republican,Halls,Campaign Account,Yes,House of Representatives 82,Yes
"Powers, Bill",Bill Powers (Republican of Clarksville),Republican,Clarksville,Campaign Account,Yes,Senate District 22,No
"Hensley, Joey",Joey Hensley (Republican of Hohenwald),Republican,Hohenwald,Campaign Account,Yes,Senate District 28,No
"Camper, Karen",Karen Camper (Democrat of Memphis),Democrat,Memphis,Pac,Yes,House of Representatives 87,Yes
"Lee, Bill",Bill Lee (Republican of Franklin),Republican,Franklin,Campaign Account,No,,No
"Hulsey, Bud",Bud Hulsey (Republican of Kingsport),Republican,Kingsport,Campaign Account,Yes,House of Representatives 2,No
"Garrett, Johnny",Johnny Garrett (Republican of Goodlettsville),Republican,Goodlettsville,Campaign Account,Yes,House of Representatives 45,No
"Atwater, Carnita",Carnita Atwater (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,Yes
"Sherrell, Paul",Paul Sherrell (Republican of Sparta),Republican,Sparta,Campaign Account,Yes,House of Representatives 43,Yes
"Burkhart, Jeff",Jeff Burkhart (Republican of Clarksville),Republican,Clarksville,Campaign Account,Yes,House of Representatives 75,No
"Woodson, Jamie",Jamie Woodson (Republican of Lebanon),Republican,Lebanon,Campaign Account,No,,No
"Bright, Nick",Nick Bright (Republican of Greenback),Republican,Greenback,Campaign Account,No,,No
"Jernigan, Darren",Darren Jernigan (Democrat of Old Hickory),Democrat,Old Hickory,Pac,No,,No
"Haslam, Bill",Bill Haslam (Republican of Knoxville),Republican,Knoxville,Campaign Account,No,,No
"Harris, Torrey",Torrey Harris (Democrat of Memphis),Democrat,Memphis,Campaign Account,Yes,House of Representatives 91,Yes
"Wright, Dave",Dave Wright (Republican of Corryton),Republican,Corryton,Campaign Account,Yes,House of Representatives 19,Yes
"Hicks, Tim",Tim Hicks (Republican of Johnson City),Republican,Johnson City,Campaign Account,Yes,House of Representatives 6,Yes
"Bruni, Sylvain",Sylvain Bruni (Democrat of Johnson City),Democrat,Johnson City,Campaign Account,No,,No
"Mikels, Steve",Steve Mikels (Republican of Rockford),Republican,Rockford,Campaign Account,No,,No
"Lennon, Kathy",Kathy Lennon (Democrat of Signal Mountain),Democrat,Signal Mountain,Campaign Account,No,,No
"Harris, Jimmy",Jimmy Harris (Republican of Jackson),Republican,Jackson,Campaign Account,No,,No
"Mata, Luis",Luis Mata (Democrat of Smyrna),Democrat,Smyrna,Campaign Account,No,,No
"Luttrell, Jason",Jason Luttrell (Democrat of Flintville),Democrat,Flintville,Campaign Account,No,,No
"Cobb, James T. (Bubba)",James T. Cobb (Bubba),Republican,Hornbeak,Campaign Account,No,,No
"Braddock, Leslie",Leslie Braddock (Democrat of Gatlinburg),Democrat,Gatlinburg,Campaign Account,No,,No
"Jones, Claire",Claire Jones (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Carver, Lauren",Lauren Carver (Democrat of Powell),Democrat,Powell,Campaign Account,No,,No
"Chandler, Walter",Walter Chandler (Democrat of Hendersonville),Democrat,Hendersonville,Campaign Account,No,,No
"Grabowski, Anna",Anna Grabowski (Democrat of Ten Mile),Democrat,Ten Mile,Campaign Account,No,,No
"Moore, Kenneth R.",Kenneth R. Moore (Democrat of Loudon),Democrat,Loudon,Campaign Account,No,,No
"Reynolds, Karen",Karen Reynolds (Democrat of Clarksville),Democrat,Clarksville,Campaign Account,No,,No
"Johnson, Curtis",Curtis Johnson (Republican of Clarksville),Republican,Clarksville,Pac,No,,No
"Longstreet, Eileen H.",Eileen H. Longstreet (Democrat of Spring Hill),Democrat,Spring Hill,Campaign Account,No,,No
"Gorman, Allison",Allison Gorman (Democrat of Chattanooga),Democrat,Chattanooga,Campaign Account,No,,No
"Brown, Cheryl (Cheri)",Cheryl Brown (Cheri),Democrat,Murfreesboro,Campaign Account,No,,No
"Jester, Tim",Tim Jester (Democrat of Old Hickory),Democrat,Old Hickory,Campaign Account,No,,No
"Bryan, Domonica",Domonica Bryan (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Drake, Rose Mary",Rose Mary Drake (Democrat of Sewanee),Democrat,Sewanee,Campaign Account,No,,No
"Kosack, Kurt",Kurt Kosack (Democrat of Brentwood),Democrat,Brentwood,Campaign Account,No,,No
"Rampy, Wyatt",Wyatt Rampy (Republican of Nashville),Republican,Nashville,Campaign Account,No,,No
"Beathard, Brian",Brian Beathard (Republican of Franklin),Republican,Franklin,Campaign Account,No,,No
"Nelson, Laura",Laura Nelson (Republican of Nashville),Republican,Nashville,Campaign Account,No,,No
"Jeter, Ray",Ray Jeter (Republican of Lewisburg),Republican,Lewisburg,Campaign Account,No,,No
"Hart, James",James Hart (Independent of Buchanan),Independent,Buchanan,Campaign Account,No,,No
"Spencer, Chris",Chris Spencer (Republican of Hendersonville),Republican,Hendersonville,Campaign Account,No,,No
"Anderson, Rebecca",Rebecca Anderson (Independent of Greeneville),Independent,Greeneville,Campaign Account,No,,No
"Parker, Richard D.",Richard D. Parker (Republican of Harrogate),Republican,Harrogate,Campaign Account,No,,No
"Dressel, Nathan",Nathan Dressel (Republican of Talbott),Republican,Talbott,Campaign Account,No,,No
"Dubois, Sue",Sue Dubois (Democrat of Walland),Democrat,Walland,Campaign Account,No,,No
"Bohling, Laura",Laura Bohling (Democrat of Murfreesboro),Democrat,Murfreesboro,Campaign Account,No,,No
"Hedrick, Teena",Teena Hedrick (Republican of Kingston),Republican,Kingston,Campaign Account,No,,No
"Love, Lori",Lori Love (Democrat of Kingsport),Democrat,Kingsport,Campaign Account,No,,Yes
"Hawn, Derek",Derek Hawn (Democrat of Wartburg),Democrat,Wartburg,Campaign Account,No,,No
"Ellison, Robin",Robin Ellison (Democrat of Seymour),Democrat,Seymour,Campaign Account,No,,No
"Pullias, John G.",John G. Pullias (Republican of Maryville),Republican,Maryville,Campaign Account,No,,No
"Irvine, Monica",Monica Irvine (Republican of Knoxville),Republican,Knoxville,Campaign Account,No,,No
"Duffin, Carol",Carol Duffin (Republican of Clarksville),Republican,Clarksville,Campaign Account,No,,No
"Coonrod, Demetrus",Demetrus Coonrod (Independent of Chattanooga),Independent,Chattanooga,Campaign Account,No,,Yes
"Brown, Christian",Christian Brown (Republican of Sevierville),Republican,Sevierville,Campaign Account,No,,No
"Averwater, Jami K.",Jami K. Averwater (Republican of Murfreesboro),Republican,Murfreesboro,Campaign Account,No,,No
"Linton, Lawrence",Lawrence Linton (Republican of Sevierville),Republican,Sevierville,Campaign Account,No,,No
"Pierce, Alex",Alex Pierce (Democrat of Columbia),Democrat,Columbia,Campaign Account,No,,No
"Smith, Joe",Joe Smith (Republican of Clarksville),Republican,Clarksville,Campaign Account,No,,No
"Mead, Kevin",Kevin Mead (Independent of Springfield),Independent,Springfield,Campaign Account,No,,No
"Castle Doyle, Deborah",Deborah Castle Doyle (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Frensley Webb, Jennifer",Jennifer Frensley Webb (Republican of Goodlettsville),Republican,Goodlettsville,Campaign Account,No,,No
"Batt, Brad",Brad Batt (Democrat of Johnson City),Democrat,Johnson City,Campaign Account,No,,Yes
"Thomforde, David",David Thomforde (Democrat of Athens),Democrat,Athens,Campaign Account,No,,No
"Young, Patti",Patti Young (Democrat of Walland),Democrat,Walland,Campaign Account,No,,No
"Lundy, Dasha",Dasha Lundy (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Dunn, Eric",Eric Dunn (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Peltz, Jamie Dean",Jamie Dean Peltz (Republican of Clarksville),Republican,Clarksville,Campaign Account,No,,No
"Gilman, Greg",Greg Gilman (Republican of Clarksville),Republican,Clarksville,Campaign Account,No,,No
"Scott, Garfield",Garfield Scott (Democrat of Clarksville),Democrat,Clarksville,Campaign Account,No,,Yes
"Hammond, Cary",Cary Hammond (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Taylor, Amber (Bennie)",Amber Taylor (Bennie),Democrat,Cookeville,Campaign Account,No,,No
"Gertz, Karen",Karen Gertz (Democrat of Maryville),Democrat,Maryville,Campaign Account,No,,Yes
"Niceley, Frank",Frank Niceley (Republican of Strawberry Plains),Republican,Strawberry Plains,Campaign Account,No,,No
"Yancey, Jonathan",Jonathan Yancey (Democrat of Murfreesboro),Democrat,Murfreesboro,Campaign Account,No,,No
"Marcum, Tucker",Tucker Marcum (Republican of Eagleville),Republican,Eagleville,Campaign Account,No,,No
"Nordstrom, Noah",Noah Nordstrom (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Ragan, John",John Ragan (Republican of Oak Ridge),Republican,Oak Ridge,Campaign Account,No,,No
"Kelly, Curtis",Curtis Kelly (Democrat of Clarkrange),Democrat,Clarkrange,Campaign Account,No,,No
"Gross, Justin",Justin Gross (Democrat of Newport),Democrat,Newport,Campaign Account,No,,No
"Brasher, Tyler",Tyler Brasher (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Crutchfield, Missy",Missy Crutchfield (Democrat of Chattanooga),Democrat,Chattanooga,Campaign Account,No,,No
"Spurlock, Justin",Justin Spurlock (Republican of Burns),Republican,Burns,Campaign Account,No,,No
"McCormick, Robert",Robert McCormick (Republican of Sparta),Republican,Sparta,Campaign Account,No,,No
"Winston, David",David Winston (Democrat of Cordova),Democrat,Cordova,Campaign Account,No,,No
"Hurder, Stan",Stan Hurder (Democrat of Cleveland),Democrat,Cleveland,Campaign Account,No,,No
"Williams, Larhonda",Larhonda Williams (Democrat of Lebanon),Democrat,Lebanon,Campaign Account,No,,No
"Pant, Amelia",Amelia Pant (Democrat of Murfreesboro),Democrat,Murfreesboro,Campaign Account,No,,No
"Forster-Benson, Nick",Nick Forster-Benson (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Carr, Dale",Dale Carr (Republican of Sevierville),Republican,Sevierville,Campaign Account,No,,No
"Scofield, Ryan",Ryan Scofield (Democrat of Harrison),Democrat,Harrison,Campaign Account,No,,Yes
"Hutson,  Charles",Charles Hutson (Independent of Sunbright),Independent,Sunbright,Campaign Account,No,,No
"Steele, Russell Wayne",Russell Wayne Steele (Democrat of Fayetteville),Democrat,Fayetteville,Campaign Account,No,,No
"Huff, Christopher",Christopher Huff (Republican of Old Hickory),Republican,Old Hickory,Campaign Account,No,,No
"Warfel, Brittany Lynn",Brittany Lynn Warfel (Democrat of Spencer),Democrat,Spencer,Campaign Account,No,,No
"Webb, Elizabeth",Elizabeth Webb (Democrat of Greenbrier),Democrat,Greenbrier,Campaign Account,No,,No
"Holsclaw, John",John Holsclaw (Republican of Elizabethton),Republican,Elizabethton,Campaign Account,No,,No
"Collins, Amanda",Amanda Collins (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Coy, Tim",Tim Coy (Democrat of Clifton),Democrat,Clifton,Campaign Account,No,,No
"Pickle, Mac",Mac Pickle (Democrat of Louisville),Democrat,Louisville,Campaign Account,No,,Yes
"Towns, Joe",Joe Towns (Democrat of Memphis),Democrat,Memphis,Campaign Account,Yes,House of Representatives 84,Yes
"McClendon, Heather",Heather McClendon (Democrat of Rock Spring),Democrat,Rock Spring,Campaign Account,No,,No
"Oppenhuizen, Christina",Christina Oppenhuizen (Republican of Memphis),Republican,Memphis,Campaign Account,No,,No
"Alexander, Curt",Curt Alexander (Republican of Elizabethton),Republican,Elizabethton,Campaign Account,No,,No
"Bean, Scott",Scott Bean (Independent of Fayetteville),Independent,Fayetteville,Campaign Account,No,,No
"Chase, Andrea",Andrea Chase (Democrat of Cleveland),Democrat,Cleveland,Campaign Account,No,,No
"Lecompte, Edward",Edward Lecompte (Republican of Red Bank),Republican,Red Bank,Campaign Account,No,,No
"Adkins, Wesley",Wesley Adkins (Democrat of Cookeville),Democrat,Cookeville,Campaign Account,No,,No
"Smith, E. R.",E. R. Smith (Democrat of Murfreesboro),Democrat,Murfreesboro,Campaign Account,No,,No
"Morrison, Mitchell",Mitchell Morrison (Independent of Memphis),Independent,Memphis,Campaign Account,No,,No
"Hawthorne, Daniel T.",Daniel T. Hawthorne (Democrat of Dixon Springs),Democrat,Dixon Springs,Campaign Account,No,,No
"Price, Dalia M.",Dalia M. Price (Independent of Kingsport),Independent,Kingsport,Campaign Account,No,,No
"Williams, Vernell",Vernell Williams (Democrat of Did not say),Democrat,Did not say,Campaign Account,No,,No
"Emert, Jason",Jason Emert (Republican of Maryville),Republican,Maryville,Campaign Account,No,,No
"Cooper, Charles (Charlie)",Charles Cooper (Charlie),Republican,Obion,Campaign Account,No,,No
"Smith, Richard W.",Richard W. Smith (Republican of Dunlap),Republican,Dunlap,Campaign Account,No,,No
"Singh, Seema",Seema Singh (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Weathers, Troy",Troy Weathers (Republican of Cleveland),Republican,Cleveland,Campaign Account,No,,No
"Richey, Bryan",Bryan Richey (Republican of Alcoa),Republican,Alcoa,Campaign Account,No,,No
"George, Ronny",Ronny George (Republican of Bon Aqua),Republican,Bon Aqua,Campaign Account,No,,No
"Grantham, Brad",Brad Grantham (Republican of Bolivar),Republican,Bolivar,Campaign Account,No,,No
"Whitson, Sam",Sam Whitson (Republican of Franklin),Republican,Franklin,Campaign Account,No,,No
"Tracy, Jim",Jim Tracy (Republican of Nashville),Republican,Nashville,Pac,No,,No
"Page, David",David Page (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,Yes
"Davis, Anthony",Anthony Davis (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Vaughan, Stacy",Stacy Vaughan (Republican of Johnson City),Republican,Johnson City,Campaign Account,No,,No
"Stanley, Angie",Angie Stanley (Republican of Kingsport),Republican,Kingsport,Campaign Account,No,,No
"Hooven, David C.",David C. Hooven (Republican of Nashville),Republican,Nashville,Campaign Account,No,,No
