company_name,filing_period_display,filing_period_raw,end_year,lobbyist_compensation,lobbying_related_expenses
American Cancer Society,Jul–Dec 2019,2019-07-01-2019-12-31,2019,"Less than $10,000","Less than $10,000"
American Cancer Society,Jan–Jun 2019,2019-01-01-2019-06-30,2019,"Less than $10,000","Less than $10,000"
American Cancer Society,Jul–Dec 2018,2018-07-01-2018-12-31,2018,"Less than $10,000","Less than $10,000"
American Cancer Society,Jan–Jun 2018,2018-01-01-2018-06-30,2018,"$25,000 - $50,000","Less than $10,000"
American Cancer Society,Jul–Dec 2017,2017-07-01-2017-12-31,2017,"$25,000 - $50,000","Less than $10,000"
American Cancer Society,Jan–Jun 2017,2017-01-01-2017-06-30,2017,"$50,000 - $100,000","Less than $10,000"
American Cancer Society,Jul–Dec 2016,2016-07-01-2016-12-31,2016,"$50,000 - $100,000","Less than $10,000"
American Cancer Society,Jan–Jun 2016,2016-01-01-2016-06-30,2016,"$50,000 - $100,000","Less than $10,000"
American Cancer Society,Jul–Dec 2015,2015-07-01-2015-12-31,2015,"$25,000 - $50,000","Less than $10,000"
American Cancer Society,Jan–Jun 2015,2015-01-01-2015-06-30,2015,"$25,000 - $50,000","Less than $10,000"
American Cancer Society,Jul–Dec 2014,2014-07-01-2014-12-31,2014,"$25,000 - $50,000","Less than $10,000"
American Cancer Society,Jan–Jun 2014,2014-01-01-2014-06-30,2014,"$25,000 - $50,000","Less than $10,000"
American Cancer Society,Jul–Dec 2013,2013-07-01-2013-12-31,2013,"$25,000 - $50,000","Less than $10,000"
American Cancer Society,Jan–Jun 2013,2013-01-01-2013-06-30,2013,"$25,000 - $50,000","Less than $10,000"
American Cancer Society,Jul–Dec 2012,2012-07-01-2012-12-31,2012,"$10,000 - $25,000","Less than $10,000"
American Cancer Society,Jan–Jun 2012,2012-01-01-2012-06-30,2012,"$25,000 - $50,000","Less than $10,000"
American Cancer Society,Apr–Dec 2011,2011-04-01-2011-12-31,2011,"$10,000 - $25,000","Less than $10,000"
American Cancer Society,Oct–Mar 2011,2010-10-01-2011-03-31,2011,"$10,000 - $25,000","Less than $10,000"
American Center For Outreach,Jan–Jun 2017,2017-01-01-2017-06-30,2017,"Less than $10,000","Less than $10,000"
American Center For Outreach,Jul–Dec 2016,2016-07-01-2016-12-31,2016,"Less than $10,000","Less than $10,000"
American Center For Outreach,Jan–Jun 2016,2016-01-01-2016-06-30,2016,"Less than $10,000","Less than $10,000"
American Center For Outreach,Jul–Dec 2015,2015-07-01-2015-12-31,2015,"Less than $10,000","Less than $10,000"
American Center For Outreach,Jan–Jun 2015,2015-01-01-2015-06-30,2015,"Less than $10,000","Less than $10,000"
American Center For Outreach,Jul–Dec 2014,2014-07-01-2014-12-31,2014,"Less than $10,000","Less than $10,000"
American Center For Outreach,Jan–Jun 2014,2014-01-01-2014-06-30,2014,"Less than $10,000","Less than $10,000"
American Center For Outreach,Jul–Dec 2013,2013-07-01-2013-12-31,2013,"Less than $10,000","Less than $10,000"
American Center For Outreach,Jan–Jun 2013,2013-01-01-2013-06-30,2013,"Less than $10,000","Less than $10,000"
American Center For Outreach,Jul–Dec 2012,2012-07-01-2012-12-31,2012,"Less than $10,000","Less than $10,000"
American Center For Outreach,Jan–Jun 2012,2012-01-01-2012-06-30,2012,"Less than $10,000","Less than $10,000"
American Chemical Society,Jul–Dec 2016,2016-07-01-2016-12-31,2016,"Less than $10,000","Less than $10,000"
American Chemical Society,Jan–Jun 2016,2016-01-01-2016-06-30,2016,"Less than $10,000","Less than $10,000"
American Chemical Society,Jan–Jun 2015,2015-01-01-2015-06-30,2015,"Less than $10,000","Less than $10,000"
American Chemical Society,Jul–Dec 2014,2014-07-01-2014-12-31,2014,"Less than $10,000","Less than $10,000"
American Chemical Society,Jan–Jun 2014,2014-01-01-2014-06-30,2014,"Less than $10,000","Less than $10,000"
American Chemical Society,Jul–Dec 2013,2013-07-01-2013-12-31,2013,"Less than $10,000","Less than $10,000"
American Chemical Society,Jan–Jun 2013,2013-01-01-2013-06-30,2013,"Less than $10,000","Less than $10,000"
American Chemical Society,Jul–Dec 2012,2012-07-01-2012-12-31,2012,"Less than $10,000","Less than $10,000"
American Chemical Society,Jan–Jun 2012,2012-01-01-2012-06-30,2012,"Less than $10,000","Less than $10,000"
American Chemical Society,Apr–Dec 2011,2011-04-01-2011-12-31,2011,"Less than $10,000","Less than $10,000"
American Chemical Society,Oct–Mar 2011,2010-10-01-2011-03-31,2011,"$10,000 - $25,000","Less than $10,000"
American Chemistry Council,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"$10,000 - $25,000","Less than $10,000"
American Chemistry Council,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"$10,000 - $25,000","Less than $10,000"
American Chemistry Council,Jul–Dec 2019,2019-07-01-2019-12-31,2019,"$25,000 - $50,000","Less than $10,000"
American Chemistry Council,Jan–Jun 2019,2019-01-01-2019-06-30,2019,"$10,000 - $25,000","Less than $10,000"
American Chemistry Council,Jul–Dec 2018,2018-07-01-2018-12-31,2018,"$25,000 - $50,000","Less than $10,000"
American Chemistry Council,Jan–Jun 2018,2018-01-01-2018-06-30,2018,"$10,000 - $25,000","Less than $10,000"
American Chemistry Council,Jul–Dec 2017,2017-07-01-2017-12-31,2017,"$10,000 - $25,000","Less than $10,000"
American Chemistry Council,Jan–Jun 2017,2017-01-01-2017-06-30,2017,"$25,000 - $50,000","Less than $10,000"
American Chemistry Council,Jul–Dec 2016,2016-07-01-2016-12-31,2016,"$10,000 - $25,000","Less than $10,000"
American Chemistry Council,Jan–Jun 2016,2016-01-01-2016-06-30,2016,"$10,000 - $25,000","Less than $10,000"
American Cleaning Institute,Jul–Dec 2012,2012-07-01-2012-12-31,2012,"Less than $10,000","Less than $10,000"
American Cleaning Institute,Jan–Jun 2012,2012-01-01-2012-06-30,2012,"Less than $10,000","Less than $10,000"
American Cleaning Institute,Apr–Dec 2011,2011-04-01-2011-12-31,2011,"Less than $10,000","Less than $10,000"
American Coalition For Clean Coal Electricity,Jul–Dec 2016,2016-07-01-2016-12-31,2016,"Less than $10,000","Less than $10,000"
American Coalition For Clean Coal Electricity,Jan–Jun 2016,2016-01-01-2016-06-30,2016,"$10,000 - $25,000","Less than $10,000"
American Coalition For Clean Coal Electricity,Jul–Dec 2015,2015-07-01-2015-12-31,2015,"$10,000 - $25,000","Less than $10,000"
American Coalition For Clean Coal Electricity,Jan–Jun 2015,2015-01-01-2015-06-30,2015,"$10,000 - $25,000","Less than $10,000"
American Coalition For Clean Coal Electricity,Jul–Dec 2014,2014-07-01-2014-12-31,2014,"$10,000 - $25,000","Less than $10,000"
American Coalition For Clean Coal Electricity,Jan–Jun 2014,2014-01-01-2014-06-30,2014,"$10,000 - $25,000","Less than $10,000"
American College Of Obstetricians And Gynecologists,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$10,000 - $25,000","Less than $10,000"
American College Of Obstetricians And Gynecologists,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"Less than $10,000","Less than $10,000"
American College Of Obstetricians And Gynecologists,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"$10,000 - $25,000","Less than $10,000"
American College Of Obstetricians And Gynecologists,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"$10,000 - $25,000","Less than $10,000"
American College Of Obstetricians And Gynecologists,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"$10,000 - $25,000","Less than $10,000"
American College Of Obstetricians And Gynecologists,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"$10,000 - $25,000","Less than $10,000"
American College Of Obstetricians And Gynecologists,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"$25,000 - $50,000","Less than $10,000"
American College Of Obstetricians And Gynecologists,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"$10,000 - $25,000","Less than $10,000"
American College Of Obstetricians And Gynecologists,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"$10,000 - $25,000","Less than $10,000"
American College Of Obstetricians And Gynecologists,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"$10,000 - $25,000","Less than $10,000"
American College Of Obstetricians And Gynecologists,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"$25,000 - $50,000","Less than $10,000"
American College Of Obstetricians And Gynecologists,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"$10,000 - $25,000","Less than $10,000"
American College Of Obstetricians And Gynecologists,Jul–Dec 2019,2019-07-01-2019-12-31,2019,"$10,000 - $25,000","Less than $10,000"
American College Of Obstetricians And Gynecologists,Jan–Jun 2019,2019-01-01-2019-06-30,2019,"$10,000 - $25,000","Less than $10,000"
American College Of Obstetricians And Gynecologists,Jul–Dec 2018,2018-07-01-2018-12-31,2018,"$25,000 - $50,000","Less than $10,000"
American Conservative Union,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"Less than $10,000","Less than $10,000"
American Conservative Union,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"Less than $10,000","Less than $10,000"
American Conservative Union,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"Less than $10,000","Less than $10,000"
American Conservative Union,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"Less than $10,000","Less than $10,000"
American Conservative Union,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"Less than $10,000","Less than $10,000"
American Conservative Union,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"Less than $10,000","Less than $10,000"
American Conservative Union,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"Less than $10,000","Less than $10,000"
American Conservative Union,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"Less than $10,000","Less than $10,000"
American Conservative Union,Jan–Jun 2013,2013-01-01-2013-06-30,2013,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"Less than $10,000","Less than $10,000"
American Council Of Life Insurers,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"Less than $10,000","Less than $10,000"
American Council Of Life Insurers,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"$25,000 - $50,000","Less than $10,000"
American Council Of Life Insurers,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"Less than $10,000","Less than $10,000"
American Council Of Life Insurers,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"Less than $10,000","Less than $10,000"
American Council Of Life Insurers,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"Less than $10,000","Less than $10,000"
American Council Of Life Insurers,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jul–Dec 2019,2019-07-01-2019-12-31,2019,"Less than $10,000","Less than $10,000"
American Council Of Life Insurers,Jan–Jun 2019,2019-01-01-2019-06-30,2019,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jul–Dec 2018,2018-07-01-2018-12-31,2018,"Less than $10,000","Less than $10,000"
American Council Of Life Insurers,Jan–Jun 2018,2018-01-01-2018-06-30,2018,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jul–Dec 2017,2017-07-01-2017-12-31,2017,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jan–Jun 2017,2017-01-01-2017-06-30,2017,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jul–Dec 2016,2016-07-01-2016-12-31,2016,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jan–Jun 2016,2016-01-01-2016-06-30,2016,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jul–Dec 2015,2015-07-01-2015-12-31,2015,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jan–Jun 2015,2015-01-01-2015-06-30,2015,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jul–Dec 2014,2014-07-01-2014-12-31,2014,"Less than $10,000","Less than $10,000"
American Council Of Life Insurers,Jan–Jun 2014,2014-01-01-2014-06-30,2014,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jul–Dec 2013,2013-07-01-2013-12-31,2013,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jan–Jun 2013,2013-01-01-2013-06-30,2013,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jul–Dec 2012,2012-07-01-2012-12-31,2012,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Jan–Jun 2012,2012-01-01-2012-06-30,2012,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Apr–Dec 2011,2011-04-01-2011-12-31,2011,"$10,000 - $25,000","Less than $10,000"
American Council Of Life Insurers,Oct–Mar 2011,2010-10-01-2011-03-31,2011,"$10,000 - $25,000","Less than $10,000"
American Council Of Trustees And Alumni,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"Less than $10,000","Less than $10,000"
American Council Of Trustees And Alumni,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"Less than $10,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$10,000 - $25,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"$50,000 - $100,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"$50,000 - $100,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"$50,000 - $100,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"$50,000 - $100,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"$50,000 - $100,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"$50,000 - $100,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"$50,000 - $100,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"$25,000 - $50,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"$25,000 - $50,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"$10,000 - $25,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"$25,000 - $50,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jul–Dec 2019,2019-07-01-2019-12-31,2019,"$25,000 - $50,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jan–Jun 2019,2019-01-01-2019-06-30,2019,"$25,000 - $50,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jul–Dec 2018,2018-07-01-2018-12-31,2018,"Less than $10,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jan–Jun 2018,2018-01-01-2018-06-30,2018,"$50,000 - $100,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jul–Dec 2017,2017-07-01-2017-12-31,2017,"$25,000 - $50,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jan–Jun 2017,2017-01-01-2017-06-30,2017,"$25,000 - $50,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jul–Dec 2016,2016-07-01-2016-12-31,2016,"$10,000 - $25,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jan–Jun 2016,2016-01-01-2016-06-30,2016,"Less than $10,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jul–Dec 2015,2015-07-01-2015-12-31,2015,"Less than $10,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jan–Jun 2015,2015-01-01-2015-06-30,2015,"$10,000 - $25,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jul–Dec 2014,2014-07-01-2014-12-31,2014,"$10,000 - $25,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jan–Jun 2014,2014-01-01-2014-06-30,2014,"$10,000 - $25,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jul–Dec 2013,2013-07-01-2013-12-31,2013,"$10,000 - $25,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jan–Jun 2013,2013-01-01-2013-06-30,2013,"$10,000 - $25,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jul–Dec 2012,2012-07-01-2012-12-31,2012,"Less than $10,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Jan–Jun 2012,2012-01-01-2012-06-30,2012,"Less than $10,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Apr–Dec 2011,2011-04-01-2011-12-31,2011,"Less than $10,000","Less than $10,000"
American Council of Engineering Companies of Tennessee,Oct–Mar 2011,2010-10-01-2011-03-31,2011,"$10,000 - $25,000","Less than $10,000"
American Diabetes Assn.,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$10,000 - $25,000","Less than $10,000"
American Diabetes Assn.,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"$10,000 - $25,000","Less than $10,000"
American Diabetes Assn.,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"$10,000 - $25,000","Less than $10,000"
American Diabetes Assn.,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"$10,000 - $25,000","Less than $10,000"
American Diabetes Assn.,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"Less than $10,000","Less than $10,000"
American Diabetes Assn.,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"Less than $10,000","Less than $10,000"
American Diabetes Assn.,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"Less than $10,000","Less than $10,000"
American Diabetes Assn.,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"Less than $10,000","Less than $10,000"
American Diabetes Assn.,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"Less than $10,000","Less than $10,000"
American Diabetes Assn.,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"Less than $10,000","Less than $10,000"
American Diabetes Assn.,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"Less than $10,000","Less than $10,000"
American Diabetes Assn.,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"Less than $10,000","Less than $10,000"
American Diabetes Assn.,Jul–Dec 2019,2019-07-01-2019-12-31,2019,"Less than $10,000","Less than $10,000"
American Diabetes Assn.,Jan–Jun 2019,2019-01-01-2019-06-30,2019,"Less than $10,000","Less than $10,000"
American Diabetes Assn.,Jul–Dec 2018,2018-07-01-2018-12-31,2018,"Less than $10,000","Less than $10,000"
American Diabetes Assn.,Jan–Jun 2018,2018-01-01-2018-06-30,2018,"Less than $10,000","Less than $10,000"
American Diabetes Assn.,Jul–Dec 2017,2017-07-01-2017-12-31,2017,"Less than $10,000","Less than $10,000"
American Diabetes Assn.,Jan–Jun 2017,2017-01-01-2017-06-30,2017,"Less than $10,000","Less than $10,000"
American Diabetes Assn.,Jul–Dec 2014,2014-07-01-2014-12-31,2014,"Less than $10,000","Less than $10,000"
American Diabetes Assn.,Jan–Jun 2014,2014-01-01-2014-06-30,2014,"Less than $10,000","Less than $10,000"
American Diabetes Assn.,Jul–Dec 2013,2013-07-01-2013-12-31,2013,"$10,000 - $25,000","Less than $10,000"
American Diabetes Assn.,Jan–Jun 2013,2013-01-01-2013-06-30,2013,"$10,000 - $25,000","Less than $10,000"
American Diabetes Assn.,Jul–Dec 2012,2012-07-01-2012-12-31,2012,"Less than $10,000","Less than $10,000"
American Diabetes Assn.,Jan–Jun 2012,2012-01-01-2012-06-30,2012,"Less than $10,000","Less than $10,000"
American Doctor Of Medical Science Association,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"Less than $10,000","Less than $10,000"
American Doctor Of Medical Science Association,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"$10,000 - $25,000","Less than $10,000"
American Doctor Of Medical Science Association,Jul–Dec 2018,2018-07-01-2018-12-31,2018,"Less than $10,000","Less than $10,000"
"American Engineers, Inc.",Jul–Dec 2022,2022-07-01-2022-12-31,2022,"$25,000 - $50,000","Less than $10,000"
"American Engineers, Inc.",Jan–Jun 2022,2022-01-01-2022-06-30,2022,"$25,000 - $50,000","Less than $10,000"
"American Engineers, Inc.",Jul–Dec 2021,2021-07-01-2021-12-31,2021,"$25,000 - $50,000","Less than $10,000"
"American Engineers, Inc.",Jan–Jun 2021,2021-01-01-2021-06-30,2021,"$25,000 - $50,000","Less than $10,000"
"American Engineers, Inc.",Jul–Dec 2020,2020-07-01-2020-12-31,2020,"$25,000 - $50,000","Less than $10,000"
"American Engineers, Inc.",Jan–Jun 2020,2020-01-01-2020-06-30,2020,"$25,000 - $50,000","Less than $10,000"
"American Engineers, Inc.",Jul–Dec 2019,2019-07-01-2019-12-31,2019,"$25,000 - $50,000","Less than $10,000"
"American Engineers, Inc.",Jul–Dec 2014,2014-07-01-2014-12-31,2014,"Less than $10,000","Less than $10,000"
"American Engineers, Inc.",Jan–Jun 2014,2014-01-01-2014-06-30,2014,"Less than $10,000","Less than $10,000"
"American Engineers, Inc.",Jan–Jun 2013,2013-01-01-2013-06-30,2013,"Less than $10,000","Less than $10,000"
"American Engineers, Inc.",Jul–Dec 2012,2012-07-01-2012-12-31,2012,"Less than $10,000","Less than $10,000"
"American Engineers, Inc.",Jan–Jun 2012,2012-01-01-2012-06-30,2012,"Less than $10,000","Less than $10,000"
"American Engineers, Inc.",Apr–Dec 2011,2011-04-01-2011-12-31,2011,"$10,000 - $25,000","Less than $10,000"
"American Engineers, Inc.",Oct–Mar 2011,2010-10-01-2011-03-31,2011,"$10,000 - $25,000","Less than $10,000"
American Exchange,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"$10,000 - $25,000","Less than $10,000"
American Exchange,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"$50,000 - $100,000","Less than $10,000"
American Exchange,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"$10,000 - $25,000","Less than $10,000"
American Exchange,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"$25,000 - $50,000","Less than $10,000"
American Express,Jan–Jun 2019,2019-01-01-2019-06-30,2019,"$10,000 - $25,000","Less than $10,000"
American Express,Jul–Dec 2018,2018-07-01-2018-12-31,2018,"$10,000 - $25,000","Less than $10,000"
American Express,Jan–Jun 2018,2018-01-01-2018-06-30,2018,"$10,000 - $25,000","Less than $10,000"
American Express,Jul–Dec 2017,2017-07-01-2017-12-31,2017,"$10,000 - $25,000","Less than $10,000"
American Express,Jan–Jun 2017,2017-01-01-2017-06-30,2017,"$10,000 - $25,000","Less than $10,000"
American Express,Jul–Dec 2016,2016-07-01-2016-12-31,2016,"$10,000 - $25,000","Less than $10,000"
American Express,Jan–Jun 2016,2016-01-01-2016-06-30,2016,"$25,000 - $50,000","Less than $10,000"
American Express,Jul–Dec 2015,2015-07-01-2015-12-31,2015,"$10,000 - $25,000","Less than $10,000"
American Express,Jan–Jun 2015,2015-01-01-2015-06-30,2015,"$25,000 - $50,000","Less than $10,000"
American Express,Jul–Dec 2014,2014-07-01-2014-12-31,2014,"$10,000 - $25,000","Less than $10,000"
American Express,Jan–Jun 2014,2014-01-01-2014-06-30,2014,"$10,000 - $25,000","Less than $10,000"
American Express,Jul–Dec 2013,2013-07-01-2013-12-31,2013,"$10,000 - $25,000","Less than $10,000"
American Express,Jan–Jun 2013,2013-01-01-2013-06-30,2013,"$10,000 - $25,000","Less than $10,000"
American Express,Jul–Dec 2012,2012-07-01-2012-12-31,2012,"$10,000 - $25,000","Less than $10,000"
American Express,Jan–Jun 2012,2012-01-01-2012-06-30,2012,"$10,000 - $25,000","Less than $10,000"
American Express,Apr–Dec 2011,2011-04-01-2011-12-31,2011,"$25,000 - $50,000","Less than $10,000"
American Express,Oct–Mar 2011,2010-10-01-2011-03-31,2011,"$10,000 - $25,000","Less than $10,000"
American Express Travel Related Services,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$10,000 - $25,000","Less than $10,000"
American Express Travel Related Services,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"$10,000 - $25,000","Less than $10,000"
American Express Travel Related Services,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"$10,000 - $25,000","Less than $10,000"
American Express Travel Related Services,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"$10,000 - $25,000","Less than $10,000"
American Express Travel Related Services,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"$10,000 - $25,000","Less than $10,000"
American Express Travel Related Services,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"$10,000 - $25,000","Less than $10,000"
American Express Travel Related Services,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"$25,000 - $50,000","Less than $10,000"
American Express Travel Related Services,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"$10,000 - $25,000","Less than $10,000"
American Express Travel Related Services,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"$10,000 - $25,000","Less than $10,000"
American Express Travel Related Services,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"$10,000 - $25,000","Less than $10,000"
American Express Travel Related Services,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"$10,000 - $25,000","Less than $10,000"
American Express Travel Related Services,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"$10,000 - $25,000","Less than $10,000"
American Express Travel Related Services,Jul–Dec 2019,2019-07-01-2019-12-31,2019,"$10,000 - $25,000","Less than $10,000"
American Fair Credit Council C/O Multistate Associates,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"Less than $10,000","Less than $10,000"
American Fair Credit Council C/O Multistate Associates,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"$10,000 - $25,000","Less than $10,000"
American Fair Credit Council C/O Multistate Associates,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"$10,000 - $25,000","Less than $10,000"
American Fair Credit Council C/O Multistate Associates,Jul–Dec 2019,2019-07-01-2019-12-31,2019,"$10,000 - $25,000","Less than $10,000"
American Fair Credit Council C/O Multistate Associates,Jan–Jun 2019,2019-01-01-2019-06-30,2019,"$10,000 - $25,000","Less than $10,000"
American Fair Credit Council C/O Multistate Associates,Jul–Dec 2018,2018-07-01-2018-12-31,2018,"$10,000 - $25,000","Less than $10,000"
American Fair Credit Council C/O Multistate Associates,Jan–Jun 2018,2018-01-01-2018-06-30,2018,"$10,000 - $25,000","Less than $10,000"
American Fair Credit Council C/O Multistate Associates,Jul–Dec 2014,2014-07-01-2014-12-31,2014,"$10,000 - $25,000","Less than $10,000"
American Fair Credit Council C/O Multistate Associates,Jan–Jun 2014,2014-01-01-2014-06-30,2014,"Less than $10,000","Less than $10,000"
American Families For Vaccines Action Fund,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$10,000 - $25,000","Less than $10,000"
American Families For Vaccines Action Fund,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"$10,000 - $25,000","Less than $10,000"
American Fidelity Corporation,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"$10,000 - $25,000","Less than $10,000"
American Fidelity Corporation,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"$10,000 - $25,000","Less than $10,000"
