company_name,total_all,total_since_2016,total_since_2021,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,PAC Address,Links
Elevance Health - Wellpoint,3190500.0,1930500.0,822500.0,302000.0,252000.0,152000.0,252000.0,302000.0,426000.0,152000.0,226000.0,152000.0,152000.0,202000.0,202000.0,114500.0,152000.0,152000.0,"3 LAKEVIEW PLACE, STE. 310 22 CENTURY BLVD.",https://www.elevancehealth.com/newsroom/amerigroup-health-plans-to-be-renamed-wellpoint-in-january-2024
Tennessee Broadband Association - Telecommunications Association,3051500.0,2320000.0,1560000.0,276000.0,37000.0,152000.0,152000.0,114500.0,152000.0,152000.0,152000.0,152000.0,152000.0,252000.0,252000.0,352000.0,352000.0,352000.0,"414 UNION STREET, STUITE 1900",https://apps.tn.gov/tncamp/public/replist.htm?owner=PAC-ABLE+TENNESSEE&d-1341904-o=1&id=192&d-1341904-s=3&d-1341904-p=1
Beverage Association of Tennessee,3042500.0,2035000.0,1117500.0,147500.0,185000.0,225000.0,225000.0,225000.0,225000.0,225000.0,167500.0,150000.0,150000.0,167500.0,225000.0,225000.0,225000.0,275000.0,,
Corecivic,2830000.0,2020000.0,1210000.0,202000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,202000.0,202000.0,252000.0,252000.0,252000.0,252000.0,,
Home Builders Association of Tennessee,2824500.0,1714500.0,604500.0,202000.0,202000.0,252000.0,252000.0,202000.0,252000.0,252000.0,202000.0,252000.0,152000.0,114500.0,131000.0,168500.0,113500.0,77000.0,,
Oracle,2762000.0,2382000.0,1622000.0,57000.0,77000.0,57000.0,37000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,214500.0,368500.0,335000.0,352000.0,352000.0,,
Community Choice Financial,2751000.0,1683000.0,1077500.0,114500.0,152000.0,202000.0,154000.0,445500.0,150500.0,150500.0,150500.0,77000.0,77000.0,115500.0,229000.0,229000.0,202000.0,302000.0,,https://www.chattanoogan.com/2023/6/21/470851/Check-Into-Cash-Celebrates-30th.aspx
State Farm,2746500.0,1886500.0,1010000.0,202000.0,152000.0,202000.0,152000.0,152000.0,168500.0,152000.0,202000.0,152000.0,202000.0,202000.0,252000.0,252000.0,152000.0,152000.0,,
Altria Group,2713000.0,1953000.0,1126500.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,218500.0,152000.0,202000.0,252000.0,252000.0,268500.0,,
Tennessee Municipal Electric Power Association,2659500.0,1915500.0,1343000.0,73500.0,202000.0,164500.0,152000.0,152000.0,114500.0,77000.0,77000.0,152000.0,152000.0,152000.0,252000.0,252000.0,318500.0,368500.0,,
CSX Transportation,2622500.0,1162500.0,590000.0,252000.0,302000.0,302000.0,252000.0,352000.0,152000.0,152000.0,114500.0,77000.0,77000.0,152000.0,77000.0,152000.0,152000.0,57000.0,"1331 PENNSYLVANIA AVE., N.W., SUITE 560",
University of Tennessee Medical Center,2494500.0,1685000.0,809500.0,152000.0,152000.0,152000.0,168500.0,185000.0,185000.0,168500.0,185000.0,185000.0,152000.0,185000.0,168500.0,152000.0,152000.0,152000.0,,
Tennessee Broadband Communications Council - Tennessee Fiber Optic Communities,2430000.0,1645000.0,685000.0,77000.0,78000.0,152000.0,152000.0,326000.0,276000.0,252000.0,128000.0,152000.0,152000.0,114500.0,114500.0,152000.0,152000.0,152000.0,,
Tennessee Chiropractic Association,2391000.0,2029500.0,859000.0,73500.0,57000.0,77000.0,77000.0,77000.0,77000.0,77000.0,825000.0,77000.0,114500.0,152000.0,168500.0,185000.0,185000.0,168500.0,"2451 ATRIUM WAY, STE 103",
Amazon,2322500.0,1595000.0,1060000.0,194500.0,152000.0,152000.0,152000.0,77000.0,77000.0,77000.0,77000.0,152000.0,152000.0,152000.0,202000.0,252000.0,252000.0,202000.0,,
LKQ Corp,2310500.0,2107500.0,422500.0,0.0,0.0,0.0,38500.0,164500.0,268500.0,252000.0,376000.0,500000.0,288500.0,114500.0,77000.0,77000.0,77000.0,77000.0,,
Lifepoint Health,2309000.0,1644000.0,884000.0,57000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,276000.0,,
Comcast,2300000.0,1540000.0,630000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,202000.0,252000.0,252000.0,252000.0,126000.0,0.0,0.0,,
Americans For Prosperity,2298000.0,1966500.0,1430000.0,2000.0,20500.0,4000.0,3000.0,302000.0,194500.0,93500.0,77000.0,40500.0,131000.0,73500.0,57000.0,131000.0,663500.0,505000.0,,
Tennessee Organization of School Superintendents,2288000.0,2128000.0,1110000.0,4000.0,20500.0,4000.0,20500.0,111000.0,93500.0,268500.0,202000.0,252000.0,202000.0,302000.0,202000.0,202000.0,252000.0,152000.0,,
Tennessee Secondary School Athletic Association,2280000.0,1895000.0,1160000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,252000.0,252000.0,252000.0,252000.0,252000.0,202000.0,202000.0,,
Tennessee Retail Association,2255000.0,1570000.0,810000.0,77000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,202000.0,,
Tennessee County Highway officials Association,2250000.0,1500000.0,750000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,,
