company_name,total_all,total_since_2016,total_since_2021,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,PAC Address,Links
University of Memphis Foundation,541500.0,523000.0,0.0,0.0,0.0,0.0,0.0,18500.0,77000.0,292500.0,113000.0,40500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
The Daily News Publishing Co.,540500.0,292000.0,168000.0,57000.0,57000.0,57000.0,40500.0,37000.0,40500.0,40500.0,4000.0,18500.0,20500.0,37000.0,37000.0,40500.0,53500.0,0.0,,
Mckesson Corporation,539500.0,517000.0,348500.0,0.0,0.0,0.0,4000.0,18500.0,37000.0,37000.0,37000.0,37000.0,20500.0,40500.0,77000.0,77000.0,77000.0,77000.0,,
Ace American Insurance Company,538500.0,370000.0,185000.0,20500.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,,
Science Alliance Of Tn,538500.0,353500.0,168500.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,20500.0,37000.0,37000.0,37000.0,37000.0,,
"Wal-Mart Stores, Inc.",536500.0,95500.0,0.0,78000.0,94500.0,77000.0,77000.0,114500.0,57000.0,38500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Meramec Specialty Company,534500.0,332000.0,129500.0,40500.0,40500.0,40500.0,40500.0,40500.0,40500.0,40500.0,40500.0,40500.0,40500.0,4000.0,4000.0,40500.0,40500.0,40500.0,,
Abbvie Inc.,532500.0,514000.0,20500.0,0.0,0.0,0.0,0.0,18500.0,40500.0,201000.0,252000.0,0.0,0.0,0.0,0.0,0.0,0.0,20500.0,,
Hms,532500.0,223500.0,38500.0,57000.0,194500.0,20500.0,0.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,38500.0,0.0,0.0,0.0,0.0,,
Greater Memphis Chamber,532000.0,528000.0,389000.0,0.0,0.0,0.0,0.0,4000.0,4000.0,20500.0,4000.0,37000.0,73500.0,37000.0,161000.0,37000.0,77000.0,77000.0,,
Tennessee Wildlife Federation,532000.0,495500.0,292000.0,4000.0,20500.0,4000.0,4000.0,4000.0,4000.0,4000.0,114500.0,40500.0,40500.0,77000.0,77000.0,77000.0,40500.0,20500.0,,
Tennessee Grower's Coalition,531500.0,531500.0,382500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,93500.0,53500.0,57000.0,57000.0,77000.0,77000.0,114500.0,,
"Draftkings, Inc.",527500.0,509000.0,37000.0,0.0,0.0,0.0,0.0,18500.0,113500.0,77000.0,77000.0,151000.0,53500.0,37000.0,0.0,0.0,0.0,0.0,,
Tennessee Farm Winegrowers Alliance,527000.0,344000.0,159000.0,37000.0,37000.0,53500.0,18500.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,77000.0,4000.0,4000.0,,
"American Academy Of Pediatrics, Tn Chapter",523000.0,420500.0,265000.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,40500.0,37000.0,37000.0,37000.0,57000.0,57000.0,77000.0,37000.0,,
"Tennessee Carriers, Inc.",522000.0,353500.0,168500.0,37000.0,37000.0,37000.0,20500.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,20500.0,,
Tn Eagle Forum,522000.0,337000.0,168500.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,20500.0,37000.0,37000.0,37000.0,37000.0,20500.0,20500.0,37000.0,53500.0,,
Bayer Corporation,521500.0,379000.0,147000.0,4000.0,4000.0,57000.0,40500.0,37000.0,57000.0,57000.0,77000.0,37000.0,4000.0,4000.0,4000.0,4000.0,20500.0,114500.0,,
Rocketship Education,518000.0,364000.0,133000.0,0.0,0.0,0.0,77000.0,77000.0,77000.0,113500.0,40500.0,0.0,0.0,0.0,20500.0,35000.0,20500.0,57000.0,,
Forward Sumner Economic Partnership,518000.0,370000.0,185000.0,0.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,,
"Axon Enterprise, Inc.",517500.0,517500.0,286500.0,0.0,0.0,0.0,0.0,0.0,0.0,77000.0,77000.0,38500.0,38500.0,0.0,20500.0,114500.0,114500.0,37000.0,,
Walmart ,514500.0,514500.0,305000.0,0.0,0.0,0.0,0.0,0.0,0.0,18500.0,77000.0,57000.0,57000.0,57000.0,57000.0,57000.0,77000.0,57000.0,,
State Volunteer Mutual Ins. Co.,511500.0,266500.0,0.0,57000.0,37000.0,37000.0,37000.0,77000.0,77000.0,77000.0,57000.0,37000.0,18500.0,0.0,0.0,0.0,0.0,0.0,,
"The Proton Therapy Center, Llc",510500.0,325500.0,0.0,0.0,0.0,0.0,20500.0,164500.0,76000.0,94500.0,114500.0,40500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Studsvik, Inc.",508000.0,0.0,0.0,202000.0,152000.0,152000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Patients For Fair Compensation,507000.0,304000.0,0.0,0.0,0.0,0.0,38500.0,164500.0,152000.0,152000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Freeman Recovery Center, Llc",504000.0,504000.0,504000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252000.0,252000.0,,
Mednax Health Solutions Partner,498500.0,402500.0,117500.0,0.0,0.0,2000.0,57000.0,37000.0,37000.0,37000.0,57000.0,77000.0,77000.0,77000.0,40500.0,0.0,0.0,0.0,,
Southern College Of Optometry,498000.0,498000.0,345000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,57000.0,57000.0,37000.0,37000.0,77000.0,77000.0,77000.0,77000.0,,
"Boehringer Ingelheim Pharmaceuticals, Inc.",497500.0,479500.0,362500.0,4000.0,4000.0,4000.0,2000.0,4000.0,2000.0,4000.0,37000.0,37000.0,37000.0,37000.0,57000.0,77000.0,114500.0,77000.0,,
"Bird Rides, Inc.",497500.0,497500.0,231000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114500.0,152000.0,77000.0,77000.0,77000.0,0.0,0.0,,
Cicero Action,497500.0,497500.0,497500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77000.0,114500.0,152000.0,77000.0,77000.0,,
"Koch Companies Public Sector, Llc And Affiliates",497000.0,497000.0,192500.0,0.0,0.0,0.0,0.0,0.0,0.0,57000.0,93500.0,77000.0,77000.0,77000.0,77000.0,38500.0,0.0,0.0,,
Tennessee Bankers Association,497000.0,378000.0,275500.0,37000.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,77000.0,77000.0,40500.0,40500.0,40500.0,,
Magellan Health Services,496000.0,345000.0,0.0,0.0,0.0,57000.0,57000.0,37000.0,57000.0,77000.0,77000.0,77000.0,57000.0,0.0,0.0,0.0,0.0,0.0,,
First Horizon Bank,495500.0,369500.0,55000.0,57000.0,57000.0,4000.0,4000.0,4000.0,20500.0,37000.0,37000.0,110000.0,110000.0,55000.0,0.0,0.0,0.0,0.0,,
Ford Motor Company,495000.0,495000.0,495000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,94500.0,94500.0,152000.0,152000.0,,
Tn Assn. Of Professional Surveyors,492500.0,390000.0,185000.0,4000.0,4000.0,20500.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,57000.0,37000.0,37000.0,37000.0,37000.0,37000.0,,
Tennessee Propane Gas Association,489000.0,304000.0,119000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,20500.0,20500.0,20500.0,20500.0,,
Tennessee Gas Association,489000.0,271000.0,185000.0,37000.0,53500.0,53500.0,37000.0,37000.0,4000.0,4000.0,4000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,,
National Rifle Association Of America,487500.0,361500.0,215500.0,20500.0,40500.0,4000.0,20500.0,40500.0,77000.0,57000.0,4000.0,4000.0,4000.0,20500.0,4000.0,77000.0,57000.0,57000.0,,
Tennessee Self-Insurers Association,484000.0,410000.0,185000.0,0.0,0.0,0.0,37000.0,37000.0,57000.0,57000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,,
Justice Action Network,483500.0,483500.0,208000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57000.0,218500.0,57000.0,57000.0,57000.0,37000.0,0.0,,
Schneider Electric,483000.0,483000.0,420000.0,0.0,0.0,0.0,0.0,0.0,20500.0,2000.0,0.0,0.0,40500.0,77000.0,94500.0,152000.0,94500.0,2000.0,,
"Action Now Initiative, Llc",482000.0,482000.0,404000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,152000.0,252000.0,,
Tennessee Trial Judges Association,481000.0,377000.0,168500.0,2000.0,40500.0,20500.0,4000.0,37000.0,37000.0,37000.0,40500.0,37000.0,57000.0,20500.0,37000.0,37000.0,37000.0,37000.0,,
"Pure Storage, Inc.",480500.0,480500.0,385000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18500.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,,
Cg Of Tennessee Llc,480500.0,480500.0,346500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57000.0,77000.0,77000.0,77000.0,38500.0,77000.0,77000.0,,
Cempa Community Care,479000.0,479000.0,365000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37000.0,77000.0,77000.0,57000.0,77000.0,77000.0,77000.0,,
Educational Testing Service,478000.0,478000.0,288500.0,0.0,0.0,0.0,0.0,0.0,0.0,57000.0,57000.0,57000.0,18500.0,40500.0,37000.0,57000.0,77000.0,77000.0,,
Indivior Inc,476000.0,400500.0,168500.0,0.0,0.0,0.0,18500.0,57000.0,40500.0,20500.0,57000.0,57000.0,57000.0,37000.0,37000.0,37000.0,37000.0,20500.0,,
First Horizon Corporation,475000.0,475000.0,475000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,110000.0,110000.0,110000.0,90000.0,,
Tennessee Lobbyists Association,472500.0,353500.0,185000.0,37000.0,20500.0,20500.0,20500.0,20500.0,20500.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,,
Us Nitrogen Llc,470500.0,312000.0,0.0,37000.0,4000.0,0.0,40500.0,77000.0,77000.0,77000.0,77000.0,77000.0,4000.0,0.0,0.0,0.0,0.0,0.0,,
Tennessee Conservation Voters,469000.0,313500.0,174500.0,37000.0,57000.0,20500.0,20500.0,20500.0,20500.0,4000.0,20500.0,37000.0,57000.0,57000.0,77000.0,40500.0,0.0,0.0,,
"Civil Constructors, Llc",468500.0,450000.0,265000.0,0.0,0.0,0.0,0.0,18500.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,77000.0,77000.0,,
Nationwide General Insurance Company,468500.0,370000.0,157000.0,0.0,37000.0,20500.0,4000.0,37000.0,114500.0,20500.0,20500.0,20500.0,37000.0,40500.0,20500.0,20500.0,37000.0,38500.0,,
Asurion,467500.0,370000.0,185000.0,57000.0,0.0,0.0,0.0,40500.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,,
"Graduation Alliance, Inc",464000.0,464000.0,348500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38500.0,77000.0,77000.0,40500.0,77000.0,77000.0,77000.0,,
Priority Ambulance,464000.0,464000.0,423000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37000.0,4000.0,20500.0,94500.0,4000.0,152000.0,152000.0,,
The United Company,464000.0,464000.0,385000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,,
Dci Donor Services Dba Tn Donor Services,464000.0,454000.0,269500.0,2000.0,0.0,0.0,4000.0,4000.0,78000.0,78000.0,4000.0,4000.0,20500.0,37000.0,40500.0,94500.0,40500.0,57000.0,,
Blackbird Capital Ii Llc,463000.0,463000.0,386000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77000.0,78000.0,78000.0,152000.0,78000.0,0.0,,
Global Medical Response,462000.0,462000.0,385000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,,
"Curriculum Associates, Llc",460500.0,456500.0,305000.0,0.0,0.0,0.0,0.0,4000.0,0.0,20500.0,37000.0,57000.0,37000.0,37000.0,37000.0,77000.0,77000.0,77000.0,,
Cratz Inspection Services Inc. D/B/A Sealmaster,460500.0,386500.0,201500.0,0.0,0.0,0.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,53500.0,,
Spectra Energy Corp,460500.0,115500.0,0.0,37000.0,77000.0,77000.0,77000.0,77000.0,77000.0,38500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Sugarlands Distilling Company, Llc",459500.0,419000.0,285000.0,0.0,0.0,40500.0,0.0,0.0,0.0,0.0,0.0,57000.0,77000.0,57000.0,77000.0,57000.0,37000.0,57000.0,,
Sports Betting Alliance,458000.0,458000.0,458000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152000.0,77000.0,77000.0,152000.0,,
Winrock International,458000.0,458000.0,458000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,152000.0,152000.0,78000.0,0.0,,
Tenneseia,456500.0,438000.0,438000.0,0.0,18500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57000.0,77000.0,152000.0,152000.0,,
Tn College Of Emergency Physicians,456000.0,320500.0,152000.0,20500.0,20500.0,37000.0,20500.0,37000.0,20500.0,37000.0,37000.0,37000.0,37000.0,37000.0,20500.0,37000.0,37000.0,20500.0,,
Tn Assn. Of Audiologists And Speech Language Pathologists,456000.0,271000.0,86000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,4000.0,4000.0,4000.0,,
Fanduel,453500.0,435000.0,37000.0,0.0,0.0,0.0,0.0,18500.0,113500.0,77000.0,77000.0,77000.0,53500.0,37000.0,0.0,0.0,0.0,0.0,,
Target Corporation,451500.0,443500.0,233000.0,0.0,0.0,0.0,4000.0,4000.0,20500.0,4000.0,4000.0,4000.0,178000.0,40500.0,114500.0,78000.0,0.0,0.0,,
"Support Solutions Of The Mid-South, Llc",449500.0,449500.0,190000.0,0.0,0.0,0.0,0.0,0.0,128000.0,37000.0,20500.0,37000.0,37000.0,37000.0,2000.0,57000.0,57000.0,37000.0,,
Entertainment Software Association,447500.0,345000.0,202500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,40500.0,40500.0,40500.0,40500.0,40500.0,40500.0,40500.0,,
Opportunity Solutions Project,446500.0,446500.0,156500.0,0.0,0.0,0.0,0.0,0.0,2000.0,57000.0,77000.0,77000.0,77000.0,77000.0,40500.0,20500.0,18500.0,0.0,,
Arthritis Foundation Inc.,444500.0,444500.0,366500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,114500.0,252000.0,0.0,0.0,0.0,,
Tn Right To Life,444000.0,424000.0,172000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,37000.0,77000.0,77000.0,57000.0,57000.0,37000.0,37000.0,37000.0,4000.0,,
Metroplolitan Knoxville Airport Authority,443500.0,423000.0,218000.0,0.0,0.0,0.0,0.0,20500.0,37000.0,57000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,70000.0,,
American Council Of Life Insurers,443000.0,274500.0,139000.0,37000.0,37000.0,37000.0,20500.0,37000.0,37000.0,37000.0,20500.0,20500.0,20500.0,20500.0,20500.0,40500.0,20500.0,37000.0,,
Tennessee Academy Of Pediatric Dentistry,441500.0,439500.0,166000.0,0.0,0.0,2000.0,0.0,0.0,0.0,152000.0,40500.0,40500.0,40500.0,40500.0,4000.0,40500.0,40500.0,40500.0,,
"Ticket Software Llc Dba Ticketnetwork, Inc.",440500.0,133500.0,0.0,20500.0,57000.0,40500.0,94500.0,94500.0,76000.0,0.0,0.0,37000.0,20500.0,0.0,0.0,0.0,0.0,0.0,,
"Neighborhood Preservation, Inc.",440000.0,440000.0,134000.0,0.0,0.0,0.0,0.0,0.0,57000.0,57000.0,57000.0,57000.0,78000.0,77000.0,57000.0,0.0,0.0,0.0,,
Memphis Bioworks Foundation,438500.0,248500.0,0.0,77000.0,2000.0,37000.0,37000.0,37000.0,77000.0,114500.0,57000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
The Neuro-Spine Committee,438000.0,203500.0,4000.0,4000.0,70000.0,70000.0,53500.0,37000.0,37000.0,70000.0,37000.0,18500.0,37000.0,4000.0,0.0,0.0,0.0,0.0,,
"Cisco Systems, Inc.",435500.0,187000.0,168500.0,20500.0,20500.0,37000.0,93500.0,77000.0,0.0,0.0,0.0,0.0,18500.0,37000.0,37000.0,20500.0,37000.0,37000.0,,
Memphis Shelby Crime Commission,432000.0,432000.0,432000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,152000.0,202000.0,,
Qsource,431000.0,242500.0,57500.0,57000.0,37000.0,37000.0,20500.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,20500.0,37000.0,0.0,0.0,0.0,,
Ivanti,428000.0,428000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226000.0,202000.0,0.0,0.0,0.0,0.0,0.0,,
"National Tobacco Company, L.P.",425500.0,77000.0,0.0,40500.0,77000.0,77000.0,77000.0,77000.0,38500.0,0.0,38500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Scientific Games,425500.0,240500.0,55500.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,18500.0,0.0,0.0,0.0,,
Horne Llp,424000.0,424000.0,420000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,20500.0,57000.0,152000.0,152000.0,38500.0,,
Tennessee Mortgage Bankers Association,424000.0,422000.0,381500.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40500.0,40500.0,77000.0,77000.0,93500.0,93500.0,,
Americans United For Separation Of Church And State,424000.0,110000.0,16000.0,2000.0,4000.0,78000.0,78000.0,152000.0,78000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,0.0,,
Schroder Investment Management North America Inc,422000.0,414000.0,394000.0,0.0,0.0,0.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,378000.0,4000.0,4000.0,4000.0,4000.0,,
Servpro Industries,421500.0,417500.0,413500.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0,0.0,0.0,0.0,37000.0,77000.0,77000.0,202000.0,20500.0,,
"Hemlock Semiconductor, L.L.C.",421000.0,0.0,0.0,147500.0,110000.0,110000.0,53500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Mbsc Black Creek, Llc.",420000.0,420000.0,401500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18500.0,77000.0,77000.0,77000.0,77000.0,93500.0,,
Clinical Solutions Pharmacy,419500.0,419500.0,419500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,152000.0,114500.0,77000.0,,
Yescare Corp.,419500.0,419500.0,419500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,152000.0,114500.0,77000.0,,
Xerox,417000.0,74000.0,0.0,0.0,114500.0,114500.0,77000.0,37000.0,18500.0,18500.0,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Title Loan Association of Tennessee,412500.0,82000.0,0.0,57000.0,40500.0,78000.0,78000.0,77000.0,37000.0,20500.0,20500.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Tn Mental Health Consumers Assn.,412000.0,121500.0,14000.0,4000.0,20500.0,37000.0,152000.0,77000.0,77000.0,18500.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,2000.0,0.0,,
Tennessee Association Of Community Action,408500.0,98000.0,28500.0,4000.0,4000.0,4000.0,294500.0,4000.0,4000.0,20500.0,20500.0,4000.0,20500.0,20500.0,4000.0,4000.0,0.0,0.0,,
South Central Tennessee Development District,405500.0,405500.0,403500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,57000.0,152000.0,77000.0,77000.0,40500.0,,
"Delaware North Companies Gaming & Entertainment, Inc.",405000.0,384500.0,77000.0,0.0,0.0,0.0,0.0,20500.0,4000.0,0.0,114500.0,152000.0,37000.0,0.0,0.0,0.0,0.0,77000.0,,
Tn Action 24/7,403500.0,403500.0,385000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18500.0,77000.0,77000.0,77000.0,77000.0,77000.0,,
"Allegis, Redwood, Maxim Public Affairs, Llc",403500.0,403500.0,385000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18500.0,77000.0,77000.0,77000.0,77000.0,77000.0,,
Copart,403000.0,326000.0,81000.0,0.0,0.0,0.0,0.0,77000.0,77000.0,37000.0,57000.0,37000.0,37000.0,0.0,0.0,40500.0,40500.0,0.0,,
National College,403000.0,40500.0,0.0,77000.0,94500.0,57000.0,57000.0,77000.0,40500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Columbia Pipeline Group,400500.0,362000.0,77000.0,0.0,0.0,0.0,0.0,38500.0,77000.0,77000.0,57000.0,37000.0,37000.0,77000.0,0.0,0.0,0.0,0.0,,
Path Company,400000.0,400000.0,323000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77000.0,114500.0,20500.0,37000.0,151000.0,0.0,,
Bristol-Myers Squibb Co.,399000.0,379000.0,342500.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,20500.0,4000.0,4000.0,4000.0,57000.0,111000.0,77000.0,77000.0,20500.0,,
Public Risk Insurors,399000.0,399000.0,285000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57000.0,57000.0,57000.0,57000.0,57000.0,57000.0,57000.0,,
Gainwell,398500.0,398500.0,398500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37000.0,37000.0,20500.0,152000.0,152000.0,,
Blount Partnership,396500.0,396500.0,205000.0,0.0,0.0,0.0,0.0,0.0,0.0,40500.0,77000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,57000.0,,
"Rha Health Services Tn, Llc",396500.0,396500.0,396500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18500.0,152000.0,226000.0,,
"Blackberry Farm, Llc",395000.0,190500.0,69500.0,4000.0,4000.0,78000.0,114500.0,4000.0,78000.0,4000.0,18500.0,0.0,20500.0,4000.0,20500.0,20500.0,20500.0,4000.0,,
The Humane Society Of The U.S.,395000.0,102000.0,16000.0,4000.0,4000.0,131000.0,77000.0,77000.0,20500.0,37000.0,20500.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,0.0,,
Directv,394000.0,188000.0,188000.0,4000.0,0.0,128000.0,37000.0,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,57000.0,57000.0,37000.0,37000.0,,
Sprint,393500.0,208500.0,0.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,77000.0,37000.0,37000.0,20500.0,0.0,0.0,0.0,0.0,0.0,,
Purdue Pharma Lp,393500.0,324000.0,185000.0,4000.0,20500.0,4000.0,4000.0,37000.0,4000.0,4000.0,37000.0,57000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,,
"Pinnacle Partners Tennessee, Llc",391500.0,113500.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,113500.0,0.0,0.0,0.0,0.0,0.0,,
Hospital Alliance Of Tn,391500.0,166500.0,0.0,57000.0,57000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,18500.0,0.0,0.0,0.0,0.0,0.0,,
Toyota,390500.0,390500.0,285000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,40500.0,57000.0,57000.0,77000.0,57000.0,57000.0,37000.0,,
Southeast Community Capital Corp.,387500.0,252000.0,182500.0,37000.0,37000.0,37000.0,20500.0,4000.0,4000.0,20500.0,37000.0,4000.0,4000.0,20500.0,40500.0,40500.0,40500.0,40500.0,,
Verra Mobility,386500.0,292000.0,40500.0,37000.0,20500.0,37000.0,0.0,0.0,0.0,40500.0,77000.0,77000.0,57000.0,40500.0,0.0,0.0,0.0,0.0,,
"Meta Platforms, Inc.",385000.0,385000.0,385000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38500.0,40500.0,77000.0,114500.0,114500.0,,
United Services Automobile Association,385000.0,166000.0,20000.0,57000.0,40500.0,40500.0,40500.0,40500.0,40500.0,40500.0,40500.0,20500.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,,
Kaplan Higher Education Corp.,385000.0,0.0,0.0,77000.0,77000.0,77000.0,77000.0,77000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
National Marine Manufacturers Assn.,385000.0,385000.0,252000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38500.0,94500.0,252000.0,0.0,0.0,0.0,0.0,,
"Chattanooga Professional Baseball, Llc",385000.0,385000.0,385000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77000.0,77000.0,77000.0,77000.0,77000.0,,
Gtech Corporation,384000.0,0.0,0.0,76000.0,77000.0,77000.0,77000.0,77000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Tennessee Tow Truck Association,384000.0,372000.0,302500.0,0.0,0.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,20500.0,37000.0,37000.0,37000.0,57000.0,57000.0,114500.0,,
"Nside, Inc",383000.0,383000.0,383000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152000.0,77000.0,77000.0,77000.0,,
"Volunteer Materials, Llc",383000.0,383000.0,383000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152000.0,77000.0,77000.0,77000.0,,
Tn Chapter Of The American Planning Assn.,382000.0,364000.0,20000.0,2000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,328000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,,
Jobs For Tennessee Graduates Inc.,381000.0,381000.0,247500.0,0.0,0.0,0.0,0.0,0.0,2000.0,20500.0,37000.0,37000.0,37000.0,2000.0,37000.0,57000.0,37000.0,114500.0,,
